dsp_pedon_id,dsp_plot_id,pedon_num,date_sampled,pedon_x,pedon_y,target_soil_name,soil_sampled_name,dspplotmgt_id,label_full,label,lu,till,trt,explanation,gen_state,site,project,soil,soc_stock_0_30cm,soc_stock_30_50cm,soc_stock_50_100cm,soc_stock_100cm,mat,map,climate,soc_pct,bulk_density,tn_pct,kssl_wsa,yoder_agg_stab_mwd,p_h,soil_respiration,bglucosidase,bglucosaminidase,alkaline_phosphatase,acid_phosphatase,phosphodiesterase,arylsulfatase,pox_c,ace
KeC1-1,KeC1,NA,NA,-100.557271,39.244626,NA,Keith,46,BAU,BAU,CROP,Till,Till with rotation (eco-fallow),"Eco-Fallow Rotation.  Summer fallow is reg tillage, driled to wheat, spray stubble after harvest.  No-till corn, then fallow. (Fallow is the tillage part and wheat stubble is cleaned) No disc, just a sweep plow",AG-CROP,NA,KansasState,Keith,62.30092353287,23.200100111160005,43.65630819401,129.15733183804,11.226166725158691,521,cool_dry,2.035,1.265462091,NA,11.666666665000001,0.410197189,NA,1.0341866450000001,66.13653053,75.833329175,36.412111965,271.86937125,29.780956605,7.584295459,477.62478545,7.415989279
KeC1-2,KeC1,NA,NA,-100.557271,39.244626,NA,Keith,46,BAU,BAU,CROP,Till,Till with rotation (eco-fallow),"Eco-Fallow Rotation.  Summer fallow is reg tillage, driled to wheat, spray stubble after harvest.  No-till corn, then fallow. (Fallow is the tillage part and wheat stubble is cleaned) No disc, just a sweep plow",AG-CROP,NA,KansasState,Keith,52.18459362989999,16.87379531462,38.24455289287,107.30294183739,11.226166725158691,521,cool_dry,1.92,1.2908941079999998,NA,6.666666667,0.550889853,NA,0.8991228929999999,55.42947024,76.130223285,27.86278728,240.07951475,24.46620202,5.7688170935,409.59226939999996,6.1810790435000005
KeC1-3,KeC1,NA,NA,-100.557271,39.244626,NA,Keith,46,BAU,BAU,CROP,Till,Till with rotation (eco-fallow),"Eco-Fallow Rotation.  Summer fallow is reg tillage, driled to wheat, spray stubble after harvest.  No-till corn, then fallow. (Fallow is the tillage part and wheat stubble is cleaned) No disc, just a sweep plow",AG-CROP,NA,KansasState,Keith,51.14188831668,18.99819181136,41.893924378866664,112.03400450690668,11.226166725158691,521,cool_dry,1.9500000000000002,1.085684039,NA,9.9999999985,0.4967105005,NA,0.9778034290000001,64.81658881499999,64.843597115,43.55477429,318.33209865000003,37.97535574,6.912187209,455.95997275,6.8165153565
KeC2-1,KeC2,NA,NA,-101.0631493,39.3817794,NA,Keith,47,BAU,BAU,CROP,Till,Tilled once every 3 years.  Sorghum/wheat/corn,"Tilled once every 3 years.  Sorghum '15, tilled summer 2016, wheat '16, corn '18",AG-CROP,NA,KansasState,Keith,47.21841588791,20.01302551824,51.544102566620005,118.77554397277001,10.632999420166016,486,cool_dry,2.05,1.0374509035,NA,6.416666666499999,0.5575321265,NA,4.3355169745,141.696465875,107.49985204999999,38.025532795000004,376.55205445,86.580478055,6.0333463335,411.069786,6.8784427055
KeC2-2,KeC2,NA,NA,-101.0632519,39.3815262,NA,Keith,47,BAU,BAU,CROP,Till,Tilled once every 3 years.  Sorghum/wheat/corn,"Tilled once every 3 years.  Sorghum '15, tilled summer 2016, wheat '16, corn '18",AG-CROP,NA,KansasState,Keith,59.30621541415,22.4367490108,48.83682832624,130.57979275119,10.632999420166016,486,cool_dry,1.94,1.416738744,NA,8,0.461425202,NA,0.8120630475,113.98761426000002,85.319263945,39.814393565,382.3744337,81.977761855,6.752551136,356.5999015,6.6837737805
KeC2-3,KeC2,NA,NA,-101.0629297,39.3816973,NA,Keith,47,BAU,BAU,CROP,Till,Tilled once every 3 years.  Sorghum/wheat/corn,"Tilled once every 3 years.  Sorghum '15, tilled summer 2016, wheat '16, corn '18",AG-CROP,NA,KansasState,Keith,53.67821837466,24.482043534400002,72.69514067594,150.85540258499998,10.632999420166016,486,cool_dry,1.81,1.2812474809999999,NA,11.75,0.509871988,NA,0.7607466745,104.672243355,60.513779764999995,42.74982665500001,342.9619953,61.44433363,8.483693264500001,409.43414559999997,5.8894333155
KeC3-1,KeC3,NA,NA,-100.868944,39.978288,NA,Keith,48,BAU,BAU,CROP,Till,Till converting to no-till,"Conventional tillage estimated at every two years until 2018, 2018 was first year of no-till.  Recently purchased fields.""Tillage Until 2018"" ",AG-CROP,NA,KansasState,Keith,73.83453891367999,15.14867841176,35.15304507154,124.13626239697999,10.547499656677246,544,cool_dry,3.76,1.3557896,NA,4.333333333,0.3065743305,NA,1.1902740285,122.113131565,67.21578894999999,272.826085505,654.7388133500001,28.598347285,NA,541.08759735,4.2956735535
KeC3-2,KeC3,NA,NA,-100.868986,39.978452,NA,Keith,48,BAU,BAU,CROP,Till,Till converting to no-till,"Conventional tillage estimated at every two years until 2018, 2018 was first year of no-till.  Recently purchased fields.""Tillage Until 2018"" ",AG-CROP,NA,KansasState,Keith,35.25026650932,21.2583161286,30.886527002500003,87.39510964042,10.547499656677246,544,cool_dry,1.0899999999999999,1.32421882,NA,3.75,0.295347531,NA,1.0297222645000002,114.59680528999999,72.01130637,76.6991161,274.8457128,23.06607195,NA,276.93239865,2.5107595025
KeC3-3,KeC3,NA,NA,-100.8687585,39.9783659,NA,Keith,48,BAU,BAU,CROP,Till,Till converting to no-till,"Conventional tillage estimated at every two years until 2018, 2018 was first year of no-till.  Recently purchased fields.""Tillage Until 2018"" ",AG-CROP,NA,KansasState,Keith,39.85286964083,20.12120899477,26.42080732131,86.39488595691,10.547499656677246,544,cool_dry,1.13,1.2312604125000002,NA,4.583333333,0.266672704,NA,0.9535147134999999,122.528069795,73.02006322,71.35681847000001,245.95439,35.82573415,NA,326.1526378,2.9299232535
KeCF1-1,KeCF1,NA,NA,-100.5431538,39.2447359,NA,Keith,49,SHM - no-till,SHM,CROP,No-till,"No-Till  with cover crop -  corn, oats, or wheat.","No-Till since 2001 with cover cropping.  Cover cropped every three years since 2006.  Typically planted to corn, oats, or wheat.",AG-CROP,NA,KansasState,Keith,42.219700312600004,17.100806380079998,31.608557115960004,90.92906380864,11.226166725158691,521,cool_dry,1.505,1.3781522355,NA,5.85,0.726919471,NA,0.88110732,66.74831546,50.13788362,22.01910874,267.7784405,29.156828835,9.9738736305,382.9564557,6.1622757275
KeCF1-2,KeCF1,NA,NA,-100.5430643,39.2450134,NA,Keith,49,SHM - no-till,SHM,CROP,No-till,"No-Till  with cover crop -  corn, oats, or wheat.","No-Till since 2001 with cover cropping.  Cover cropped every three years since 2006.  Typically planted to corn, oats, or wheat.",AG-CROP,NA,KansasState,Keith,38.8108491205,13.420515078200001,26.95924518756,79.19060938626001,11.226166725158691,521,cool_dry,1.4500000000000002,1.315449159,NA,9.1666666665,0.6841602904999999,NA,0.9086418085,33.01117949,27.171964205000002,29.94804221,193.06494535000002,17.337145643,7.4933010509999995,311.29531069999996,5.767813032499999
KeCF1-3,KeCF1,NA,NA,-100.5427146,39.2447102,NA,Keith,49,SHM - no-till,SHM,CROP,No-till,"No-Till  with cover crop -  corn, oats, or wheat.","No-Till since 2001 with cover cropping.  Cover cropped every three years since 2006.  Typically planted to corn, oats, or wheat.",AG-CROP,NA,KansasState,Keith,40.951125163520004,19.75731523644,35.20692740403,95.91536780399,11.226166725158691,521,cool_dry,1.54,1.161103124,NA,3.3333333335,0.79519653,NA,0.8919565110000001,66.922974545,67.99149815999999,33.068884755,251.77370015,26.709872750000002,19.455796865,351.47580975,5.324982352
KeCF3-1,KeCF3,NA,NA,-100.89697,39.9519869,NA,Keith,50,SHM - no-till,SHM,CROP,No-till,No-till - diverse rotation,"20 years+ of No-till with 100% residue post-harvest. Covercropping is not typical of the area due to high water holding capacities of the soils paired with low and highly variable annual precipitation.  He has found covercropping to be less efficient at recharging the soil profile than fallow, and has documented yield losses from cover cropping.  Kastens has done covercropping research since 2010, spending over $50,000 to reach this conclusion, thought they still do some small trials currently.  The crop rotation is diverse as it includes a winter grass, summer grass, and legume.  Wheat, corn, yellow peas represent a typical crop rotation.",AG-CROP,NA,KansasState,Keith,42.32598241942,17.3376715052,28.11754007116,87.78119399578,10.63800048828125,545,cool_dry,1.47,1.3233418540000002,NA,2.9166666665,0.305603307,NA,0.915229657,112.798330205,54.410302720000004,61.14009106,276.03948285,27.52458592,NA,395.48451080000007,4.2026380315
KeCF3-2,KeCF3,NA,NA,-100.8967806,39.9521612,NA,Keith,50,SHM - no-till,SHM,CROP,No-till,No-till - diverse rotation,"20 years+ of No-till with 100% residue post-harvest. Covercropping is not typical of the area due to high water holding capacities of the soils paired with low and highly variable annual precipitation.  He has found covercropping to be less efficient at recharging the soil profile than fallow, and has documented yield losses from cover cropping.  Kastens has done covercropping research since 2010, spending over $50,000 to reach this conclusion, thought they still do some small trials currently.  The crop rotation is diverse as it includes a winter grass, summer grass, and legume.  Wheat, corn, yellow peas represent a typical crop rotation.",AG-CROP,NA,KansasState,Keith,37.907210723270005,15.435699671260002,41.965371366940005,95.30828176147001,10.63800048828125,545,cool_dry,1.33,1.140932904,NA,5.25,0.27311069499999996,NA,0.997225351,108.08978067500001,54.94064738,46.00314237,277.77043675,16.404389536,NA,348.38886275,4.0189542755
KeCF3-3,KeCF3,NA,NA,-100.8967806,39.9521612,NA,Keith,50,SHM - no-till,SHM,CROP,No-till,No-till - diverse rotation,"20 years+ of No-till with 100% residue post-harvest. Covercropping is not typical of the area due to high water holding capacities of the soils paired with low and highly variable annual precipitation.  He has found covercropping to be less efficient at recharging the soil profile than fallow, and has documented yield losses from cover cropping.  Kastens has done covercropping research since 2010, spending over $50,000 to reach this conclusion, thought they still do some small trials currently.  The crop rotation is diverse as it includes a winter grass, summer grass, and legume.  Wheat, corn, yellow peas represent a typical crop rotation.",AG-CROP,NA,KansasState,Keith,30.1349259579,14.17185722717,43.09349375892375,87.40027694399375,10.63800048828125,545,cool_dry,1.3199999999999998,1.2843168624999999,NA,5.3333333335,0.354450392,NA,0.8769291939999999,80.430189025,47.809801305,38.053027645,256.9333108,25.195454055,NA,359.1788828,4.244247394
KeN1-1,KeN1,NA,NA,-100.56165,39.249205,NA,Keith,51,Ref - Native,Ref,RANGE,Perennial,Native Rangeland (>40 years),"Native rangeland, never been tilled to their knowledge (over 40 years)",Reference,NA,KansasState,Keith,57.126674188059994,22.68913435384,36.30623391416,116.12204245606,11.226166725158691,521,cool_dry,2.5999999999999996,1.2001281160000001,NA,46.666666665,1.5197907305,NA,1.378216999,184.2843964,145.02435493000002,156.27160465,887.8726173499999,118.18649543500001,60.939909525000004,631.85629505,5.7278194365
KeN1-2,KeN1,NA,NA,-100.56165,39.249205,NA,Keith,51,Ref - Native,Ref,RANGE,Perennial,Native Rangeland (>40 years),"Native rangeland, never been tilled to their knowledge (over 40 years)",Reference,NA,KansasState,Keith,61.17815530359,18.317949289919998,31.8216578762,111.31776246971,11.226166725158691,521,cool_dry,2.635,0.984394454,NA,65,4.106924898,NA,1.4152883755,191.758159765,126.64659259999999,194.91200085,1053.1431335500001,120.157809945,64.74190516,638.3224227999999,6.459987052
KeN1-3,KeN1,NA,NA,-100.56165,39.249205,NA,Keith,51,Ref - Native,Ref,RANGE,Perennial,Native Rangeland (>40 years),"Native rangeland, never been tilled to their knowledge (over 40 years)",Reference,NA,KansasState,Keith,54.31456935319,15.04093615913,29.197327414950003,98.55283292727,11.226166725158691,521,cool_dry,2.675,1.0295582085000001,NA,52.5,1.5938318,NA,1.3707758055000001,208.4636541,147.62727691999999,158.13532850000001,959.6687592,89.80251178,42.366731099999996,645.2658455000001,6.827711752
KeN2-1,KeN2,NA,NA,-101.0636022,39.3843208,NA,Keith,52,Ref - Native,Ref,RANGE,Perennial,Native Rangeland - w 1 haying,"No knowledge of tillage in last 33+ years, occasional herbicide treatment for broadleaf, 1 cut of hay per year for last five years",AG-CROP,NA,KansasState,Keith,54.7057503397,32.98010729664,47.02819450896,134.7140521453,10.632999420166016,486,cool_dry,1.495,1.0628829205,NA,77.08333333,1.8601376305,NA,0.9097767845,241.09539345000002,193.3498124,150.117970655,458.7818371,272.6793192,76.67660646,322.4240986,3.288148987
KeN2-2,KeN2,NA,NA,-101.0636425,39.3840397,NA,Keith,52,Ref - Native,Ref,RANGE,Perennial,Native Rangeland - w 1 haying,"No knowledge of tillage in last 33+ years, occasional herbicide treatment for broadleaf, 1 cut of hay per year for last five years",AG-CROP,NA,KansasState,Keith,67.79004123508,39.605195548039994,54.17590234617,161.57113912929,10.632999420166016,486,cool_dry,3.1550000000000002,0.911606267,NA,77.33333333,2.250399787,NA,1.3830749685,267.3629348,165.0039218,349.58950325,537.2930125,319.3876377,94.88097911,511.65291475,4.633502156
KeN2-3,KeN2,NA,NA,-101.063449,39.384217,NA,Keith,52,Ref - Native,Ref,RANGE,Perennial,Native Rangeland - w 1 haying,"No knowledge of tillage in last 33+ years, occasional herbicide treatment for broadleaf, 1 cut of hay per year for last five years",AG-CROP,NA,KansasState,Keith,69.6518605836,30.85091065014,49.266070350199996,149.76884158394,10.632999420166016,486,cool_dry,3.24,1.0146497845,NA,81.91666666500001,1.9718842615,NA,1.4724395765,222.17011687500002,161.45535267,376.49446385,950.5964260000001,212.42208605,67.08098151,597.03372455,6.163063168999999
KeN3-1,KeN3,NA,NA,-100.8692162,39.9736474,NA,Keith,53,Ref - Native,Ref,RANGE,Perennial,Native Rangeland (>80years),"Native rangeland, never been tilled to his knowledge (over 80 years).  100-125 700lb steers to a 0.5mile x 1mile pasture",Reference,NA,KansasState,Keith,52.904389761800005,18.12161064826,46.51439078226,117.54039119232002,10.547499656677246,544,cool_dry,2.1799999999999997,1.238714625,NA,69.25,1.8202011635,NA,1.2998317744999999,234.41521848000002,155.1255112,419.20582149999996,267.6774344,110.18527947499999,NA,548.0662655,6.5097056890000005
KeN3-2,KeN3,NA,NA,-100.8692095,39.9739409,NA,Keith,53,Ref - Native,Ref,RANGE,Perennial,Native Rangeland (>80years),"Native rangeland, never been tilled to his knowledge (over 80 years).  100-125 700lb steers to a 0.5mile x 1mile pasture",Reference,NA,KansasState,Keith,43.313910342,17.27779971635,47.92096378818,108.51267384653,10.547499656677246,544,cool_dry,2.1,0.9813250725,NA,73.16666666500001,2.300372718,NA,1.56805922,231.953189095,170.716408135,282.92032770000003,289.74594855,110.51015625,NA,499.8232098,4.2215146765
KeN3-3,KeN3,NA,NA,-100.8690184,39.9737363,NA,Keith,53,Ref - Native,Ref,RANGE,Perennial,Native Rangeland (>80years),"Native rangeland, never been tilled to his knowledge (over 80 years).  100-125 700lb steers to a 0.5mile x 1mile pasture",Reference,NA,KansasState,Keith,41.404583700850004,18.08267863028,47.16673772926,106.65400006039,10.547499656677246,544,cool_dry,2.0700000000000003,0.9466849115,NA,63.25,1.913288662,NA,1.4169244415,216.895344015,175.44020584999998,254.45375755,338.37640969999995,84.364302365,NA,527.20549035,3.7346282045
CeC1-1,CeC1,a,NA,-78.6893,35.73547,NA,Cecil,20,BAU,BAU,CROP,Till,wheat - 1,corn,AG-CROP,Lake Wheeler,NCState,Cecil,64.46952472525,13.34276186464,27.21301144372,105.02529803361,15.360666275024414,1154,warm_wet,2.165,1.2058791095,0.11,41.634350444999995,4.2936889275,NA,4.3783631255,435.09786475,125.5319149,510.47872340000004,185.60051735000002,442.58896795,201.75531915,716.4388550000001,9.1765136265
CeC1-2,CeC1,b,NA,-78.68135,35.73571,NA,Cecil,20,BAU,BAU,CROP,Till,wheat - 1,corn,AG-CROP,Lake Wheeler,NCState,Cecil,41.93956567834,8.1904953456,14.83494683826,64.9650078622,15.360666275024414,1154,warm_wet,1.63,1.6871636575,0.14500000000000002,54.329004325,3.6446860195,NA,4.197036126,449.0213523,138.56382975,270.17730495,287.44456765,264.7330961,143.26241133,717.0723604,6.242963817
CeC1-3,CeC1,c,NA,-78.68177,35.73594,NA,Cecil,20,BAU,BAU,CROP,Till,wheat - 1,corn,AG-CROP,Lake Wheeler,NCState,Cecil,46.74528313336,12.917742747,14.34558085485,74.00860673521,15.360666275024414,1154,warm_wet,1.31,1.6084653274999998,0.105,32.66550523,29.237484865000003,NA,2.7473929669999997,221.8505338,78.50177305,122.03900709999999,170.29563935,151.71708185,61.43617021,716.42196155,4.307962849
CeC2-1,CeC2,a,NA,-78.67495,35.72791,NA,Cecil,21,BAU,BAU,CROP,Till,wheat - 2,corn,AG-CROP,Lake Wheeler,NCState,Cecil,44.97522249505,28.66203120004,29.84861528,103.48586897509,15.360666275024414,1154,warm_wet,1.505,1.2490479935,0.15000000000000002,9.956485119,0.7857852295,NA,4.8746114335,394.89323845,211.31205675,1550.6028365,250.73170729999998,954.79537365,228.6879433,718.17888315,5.8382093390000005
CeC2-2,CeC2,b,NA,-78.67525,35.72765,NA,Cecil,21,BAU,BAU,CROP,Till,wheat - 2,corn,AG-CROP,Lake Wheeler,NCState,Cecil,54.1624582595,12.391443726239999,20.664755422200002,87.21865740794,15.360666275024414,1154,warm_wet,1.465,1.67546198,0.135,22.189284145000002,2.343871505,NA,4.189574978,420.09786475,228.17375884999998,933.51063825,312.12490760000003,531.6903915,235.6914894,716.4219615,7.4141250215
CeC2-3,CeC2,c,NA,-78.67555,35.72739,NA,Cecil,21,BAU,BAU,CROP,Till,wheat - 2,corn,AG-CROP,Lake Wheeler,NCState,Cecil,63.08358695252999,12.68025567996,7.9529270355,83.71676966799,15.360666275024414,1154,warm_wet,1.47,1.4878713535,0.14,22.184942715,3.2579816610000005,NA,3.6491190815000003,565.6450178,228.0673759,804.7695035500001,365.67442719999997,727.38434165,245,717.4693571,7.141466242
CeC3-1,CeC3,a,NA,-78.67194,35.72451,NA,Cecil,22,BAU,BAU,CROP,Till,wheat - 3,corn,AG-CROP,Lake Wheeler,NCState,Cecil,77.57344099960001,45.6800260575,54.25672527005,177.51019232715,15.360666275024414,1154,warm_wet,1.96,1.5711169675,0.13,14.88388202,2.71790785,NA,3.8389943005,345.2313167,212.74822695,377.85460995,154.7228381,374.54626335,241.18794325,717.5876114499999,10.0509463215
CeC3-2,CeC3,b,NA,-78.67194,35.72481,NA,Cecil,22,BAU,BAU,CROP,Till,wheat - 3,corn,AG-CROP,Lake Wheeler,NCState,Cecil,100.11652303989999,48.55029602136,NA,NA,15.360666275024414,1154,warm_wet,1.79,1.558869616,0.12,52.310246675,3.043845362,NA,3.9083857220000002,267.04626335,163.59042555000002,367.27836879999995,164.75609755,415.2491103,382.70390075,716.8611919,9.823465248
CeC3-3,CeC3,c,NA,-78.67194,35.72511,NA,Cecil,22,BAU,BAU,CROP,Till,wheat - 3,corn,AG-CROP,Lake Wheeler,NCState,Cecil,93.9454826412,49.5168861375,55.06563860045,198.52800737915,15.360666275024414,1154,warm_wet,1.94,1.773380164,0.14,39.717697645,3.0309976895,NA,4.3077034545,340.2669039,143.5283688,350.035461,165.96637105000002,339.6441281,403.09397160000003,716.68381045,9.497690768
CeF3-1,CeF3,a,NA,-78.66969,35.72612,NA,Cecil,23,Ref - Forest,Ref,FOREST,Perennial,forest,forest,Reference,Lake Wheeler,NCState,Cecil,43.92322953145,9.7981179095,10.5995251922,64.32087263315,15.360666275024414,1154,warm_wet,5.575,0.794258954,0.245,88.104603075,2.563290789,NA,3.5155904205,420.3024911,444.72517732,1300.017730435,833.63204105,423.87900355,1034.1578015,719.2462885499999,13.084834193999999
CeF3-2,CeF3,b,NA,-78.66952,35.72619,NA,Cecil,23,Ref - Forest,Ref,FOREST,Perennial,forest,forest,Reference,Lake Wheeler,NCState,Cecil,46.1494100578,13.4386856743,16.504337279999998,76.0924330121,15.360666275024414,1154,warm_wet,1.565,1.8269774855,0.095,51.909722224999996,34.697397535,NA,3.6993055659999996,270.160142345,82.35815604999999,109.46808512,158.913679615,111.94839857,343.12056735,717.087933,13.323027631
CeH1-1,CeH1,a,NA,-78.68048,35.73409,NA,Cecil,24,SHM - forage,SHM,FORAGE,Perennial,hay 1,hay,AG-FORAGE,Lake Wheeler,NCState,Cecil,35.7522996376,15.139294740359999,21.7640443705,72.65563874845999,15.360666275024414,1154,warm_wet,1.5999999999999999,1.364549009,0.13999999999999999,76.607651605,1.9489813305,NA,2.423626729,371.69928825,126.28546098999999,334.83156025,200.53769405,346.81494665,554.0070922,715.90671045,9.8663726355
CeH1-2,CeH1,b,NA,-78.68042,35.73443,NA,Cecil,24,SHM - forage,SHM,FORAGE,Perennial,hay 1,hay,AG-FORAGE,Lake Wheeler,NCState,Cecil,73.34546355468,17.659121893360002,16.16589809,107.17048353803999,15.360666275024414,1154,warm_wet,3.615,1.1779891005,0.29,72.048006195,NA,NA,3.9462520585,449.30604985,170.8599291,608.35992905,244.6082779,576.29003555,712.34929075,716.87808545,15.927645292000001
CeH1-3,CeH1,c,NA,-78.68036,35.73477,NA,Cecil,24,SHM - forage,SHM,FORAGE,Perennial,hay 1,hay,AG-FORAGE,Lake Wheeler,NCState,Cecil,82.74892002025,19.231966836,24.62727629556,126.60816315181,15.360666275024414,1154,warm_wet,3.385,1.5910947025,0.305,83.54050892,2.571617032,NA,3.992452613,409.44839855,195.06205669999997,752.5531912499999,389.5325203,452.1708185,710.2659574500001,716.97099955,14.620109218
CeH2-1,CeH2,a,NA,-78.67504,35.72877,NA,Cecil,25,SHM - forage,SHM,FORAGE,Perennial,hay 2,hay,AG-FORAGE,Lake Wheeler,NCState,Cecil,49.5608550941,14.317578678,18.99227594265,82.87070971474999,15.360666275024414,1154,warm_wet,1.775,1.525704757,0.165,85.89418778,1.654637509,NA,1.8393256,404.4839858,101.81737587,370.2925532,256.0661493,403.59430605,351.4716312,715.99117785,11.004558869
