dsp_pedon_id,label_full,label,lu,till,trt,explanation,project,soil,site,pedon_x,pedon_y
KeC1-1,BAU,BAU,CROP,Till,Till with rotation (eco-fallow),"Eco-Fallow Rotation.  Summer fallow is reg tillage, driled to wheat, spray stubble after harvest.  No-till corn, then fallow. (Fallow is the tillage part and wheat stubble is cleaned) No disc, just a sweep plow",KansasState,Keith,NA,-100.557271,39.244626
KeC1-2,BAU,BAU,CROP,Till,Till with rotation (eco-fallow),"Eco-Fallow Rotation.  Summer fallow is reg tillage, driled to wheat, spray stubble after harvest.  No-till corn, then fallow. (Fallow is the tillage part and wheat stubble is cleaned) No disc, just a sweep plow",KansasState,Keith,NA,-100.557271,39.244626
KeC1-3,BAU,BAU,CROP,Till,Till with rotation (eco-fallow),"Eco-Fallow Rotation.  Summer fallow is reg tillage, driled to wheat, spray stubble after harvest.  No-till corn, then fallow. (Fallow is the tillage part and wheat stubble is cleaned) No disc, just a sweep plow",KansasState,Keith,NA,-100.557271,39.244626
KeC2-1,BAU,BAU,CROP,Till,Tilled once every 3 years.  Sorghum/wheat/corn,"Tilled once every 3 years.  Sorghum '15, tilled summer 2016, wheat '16, corn '18",KansasState,Keith,NA,-101.0631493,39.3817794
KeC2-2,BAU,BAU,CROP,Till,Tilled once every 3 years.  Sorghum/wheat/corn,"Tilled once every 3 years.  Sorghum '15, tilled summer 2016, wheat '16, corn '18",KansasState,Keith,NA,-101.0632519,39.3815262
KeC2-3,BAU,BAU,CROP,Till,Tilled once every 3 years.  Sorghum/wheat/corn,"Tilled once every 3 years.  Sorghum '15, tilled summer 2016, wheat '16, corn '18",KansasState,Keith,NA,-101.0629297,39.3816973
KeC3-1,BAU,BAU,CROP,Till,Till converting to no-till,"Conventional tillage estimated at every two years until 2018, 2018 was first year of no-till.  Recently purchased fields.""Tillage Until 2018"" ",KansasState,Keith,NA,-100.868944,39.978288
KeC3-2,BAU,BAU,CROP,Till,Till converting to no-till,"Conventional tillage estimated at every two years until 2018, 2018 was first year of no-till.  Recently purchased fields.""Tillage Until 2018"" ",KansasState,Keith,NA,-100.868986,39.978452
KeC3-3,BAU,BAU,CROP,Till,Till converting to no-till,"Conventional tillage estimated at every two years until 2018, 2018 was first year of no-till.  Recently purchased fields.""Tillage Until 2018"" ",KansasState,Keith,NA,-100.8687585,39.9783659
KeCF1-1,SHM - no-till,SHM,CROP,No-till,"No-Till  with cover crop -  corn, oats, or wheat.","No-Till since 2001 with cover cropping.  Cover cropped every three years since 2006.  Typically planted to corn, oats, or wheat.",KansasState,Keith,NA,-100.5431538,39.2447359
KeCF1-2,SHM - no-till,SHM,CROP,No-till,"No-Till  with cover crop -  corn, oats, or wheat.","No-Till since 2001 with cover cropping.  Cover cropped every three years since 2006.  Typically planted to corn, oats, or wheat.",KansasState,Keith,NA,-100.5430643,39.2450134
KeCF1-3,SHM - no-till,SHM,CROP,No-till,"No-Till  with cover crop -  corn, oats, or wheat.","No-Till since 2001 with cover cropping.  Cover cropped every three years since 2006.  Typically planted to corn, oats, or wheat.",KansasState,Keith,NA,-100.5427146,39.2447102
KeCF3-1,SHM - no-till,SHM,CROP,No-till,No-till - diverse rotation,"20 years+ of No-till with 100% residue post-harvest. Covercropping is not typical of the area due to high water holding capacities of the soils paired with low and highly variable annual precipitation.  He has found covercropping to be less efficient at recharging the soil profile than fallow, and has documented yield losses from cover cropping.  Kastens has done covercropping research since 2010, spending over $50,000 to reach this conclusion, thought they still do some small trials currently.  The crop rotation is diverse as it includes a winter grass, summer grass, and legume.  Wheat, corn, yellow peas represent a typical crop rotation.",KansasState,Keith,NA,-100.89697,39.9519869
KeCF3-2,SHM - no-till,SHM,CROP,No-till,No-till - diverse rotation,"20 years+ of No-till with 100% residue post-harvest. Covercropping is not typical of the area due to high water holding capacities of the soils paired with low and highly variable annual precipitation.  He has found covercropping to be less efficient at recharging the soil profile than fallow, and has documented yield losses from cover cropping.  Kastens has done covercropping research since 2010, spending over $50,000 to reach this conclusion, thought they still do some small trials currently.  The crop rotation is diverse as it includes a winter grass, summer grass, and legume.  Wheat, corn, yellow peas represent a typical crop rotation.",KansasState,Keith,NA,-100.8967806,39.9521612
KeCF3-3,SHM - no-till,SHM,CROP,No-till,No-till - diverse rotation,"20 years+ of No-till with 100% residue post-harvest. Covercropping is not typical of the area due to high water holding capacities of the soils paired with low and highly variable annual precipitation.  He has found covercropping to be less efficient at recharging the soil profile than fallow, and has documented yield losses from cover cropping.  Kastens has done covercropping research since 2010, spending over $50,000 to reach this conclusion, thought they still do some small trials currently.  The crop rotation is diverse as it includes a winter grass, summer grass, and legume.  Wheat, corn, yellow peas represent a typical crop rotation.",KansasState,Keith,NA,-100.8967806,39.9521612
KeN1-1,Ref - Native,Ref,RANGE,Perennial,Native Rangeland (>40 years),"Native rangeland, never been tilled to their knowledge (over 40 years)",KansasState,Keith,NA,-100.56165,39.249205
KeN1-2,Ref - Native,Ref,RANGE,Perennial,Native Rangeland (>40 years),"Native rangeland, never been tilled to their knowledge (over 40 years)",KansasState,Keith,NA,-100.56165,39.249205
KeN1-3,Ref - Native,Ref,RANGE,Perennial,Native Rangeland (>40 years),"Native rangeland, never been tilled to their knowledge (over 40 years)",KansasState,Keith,NA,-100.56165,39.249205
KeN2-1,Ref - Native,Ref,RANGE,Perennial,Native Rangeland - w 1 haying,"No knowledge of tillage in last 33+ years, occasional herbicide treatment for broadleaf, 1 cut of hay per year for last five years",KansasState,Keith,NA,-101.0636022,39.3843208
KeN2-2,Ref - Native,Ref,RANGE,Perennial,Native Rangeland - w 1 haying,"No knowledge of tillage in last 33+ years, occasional herbicide treatment for broadleaf, 1 cut of hay per year for last five years",KansasState,Keith,NA,-101.0636425,39.3840397
KeN2-3,Ref - Native,Ref,RANGE,Perennial,Native Rangeland - w 1 haying,"No knowledge of tillage in last 33+ years, occasional herbicide treatment for broadleaf, 1 cut of hay per year for last five years",KansasState,Keith,NA,-101.063449,39.384217
KeN3-1,Ref - Native,Ref,RANGE,Perennial,Native Rangeland (>80years),"Native rangeland, never been tilled to his knowledge (over 80 years).  100-125 700lb steers to a 0.5mile x 1mile pasture",KansasState,Keith,NA,-100.8692162,39.9736474
KeN3-2,Ref - Native,Ref,RANGE,Perennial,Native Rangeland (>80years),"Native rangeland, never been tilled to his knowledge (over 80 years).  100-125 700lb steers to a 0.5mile x 1mile pasture",KansasState,Keith,NA,-100.8692095,39.9739409
KeN3-3,Ref - Native,Ref,RANGE,Perennial,Native Rangeland (>80years),"Native rangeland, never been tilled to his knowledge (over 80 years).  100-125 700lb steers to a 0.5mile x 1mile pasture",KansasState,Keith,NA,-100.8690184,39.9737363
CeC1-1,BAU,BAU,CROP,Till,wheat - 1,corn,NCState,Cecil,Lake Wheeler,-78.6893,35.73547
CeC1-2,BAU,BAU,CROP,Till,wheat - 1,corn,NCState,Cecil,Lake Wheeler,-78.68135,35.73571
CeC1-3,BAU,BAU,CROP,Till,wheat - 1,corn,NCState,Cecil,Lake Wheeler,-78.68177,35.73594
CeC2-1,BAU,BAU,CROP,Till,wheat - 2,corn,NCState,Cecil,Lake Wheeler,-78.67495,35.72791
CeC2-2,BAU,BAU,CROP,Till,wheat - 2,corn,NCState,Cecil,Lake Wheeler,-78.67525,35.72765
CeC2-3,BAU,BAU,CROP,Till,wheat - 2,corn,NCState,Cecil,Lake Wheeler,-78.67555,35.72739
CeC3-1,BAU,BAU,CROP,Till,wheat - 3,corn,NCState,Cecil,Lake Wheeler,-78.67194,35.72451
CeC3-2,BAU,BAU,CROP,Till,wheat - 3,corn,NCState,Cecil,Lake Wheeler,-78.67194,35.72481
CeC3-3,BAU,BAU,CROP,Till,wheat - 3,corn,NCState,Cecil,Lake Wheeler,-78.67194,35.72511
CeF3-1,Ref - Forest,Ref,FOREST,Perennial,forest,forest,NCState,Cecil,Lake Wheeler,-78.66969,35.72612
CeF3-2,Ref - Forest,Ref,FOREST,Perennial,forest,forest,NCState,Cecil,Lake Wheeler,-78.66952,35.72619
CeH1-1,SHM - forage,SHM,FORAGE,Perennial,hay 1,hay,NCState,Cecil,Lake Wheeler,-78.68048,35.73409
CeH1-2,SHM - forage,SHM,FORAGE,Perennial,hay 1,hay,NCState,Cecil,Lake Wheeler,-78.68042,35.73443
CeH1-3,SHM - forage,SHM,FORAGE,Perennial,hay 1,hay,NCState,Cecil,Lake Wheeler,-78.68036,35.73477
CeH2-1,SHM - forage,SHM,FORAGE,Perennial,hay 2,hay,NCState,Cecil,Lake Wheeler,-78.67504,35.72877
CeH2-2,SHM - forage,SHM,FORAGE,Perennial,hay 2,hay,NCState,Cecil,Lake Wheeler,-78.67478,35.72871
CeH2-3,SHM - forage,SHM,FORAGE,Perennial,hay 2,hay,NCState,Cecil,Lake Wheeler,-78.67452,35.72865
CeH3-1,SHM - forage,SHM,FORAGE,Perennial,hay 3,hay,NCState,Cecil,Lake Wheeler,-78.67191,35.73246
CeH3-2,SHM - forage,SHM,FORAGE,Perennial,hay 3,hay,NCState,Cecil,Lake Wheeler,-78.67204,35.73285
CeH3-3,SHM - forage,SHM,FORAGE,Perennial,hay 3,hay,NCState,Cecil,Lake Wheeler,-78.67215,35.73325
ASP10-1,SHM - no-till,SHM,CROP,No-till,ASP10,ASP,WashingtonState,Palouse,JEA,-117.4595977,46.78836813
ASP10-2,SHM - no-till,SHM,CROP,No-till,ASP10,ASP,WashingtonState,Palouse,JEA,-117.4595978,46.788368
ASP10-3,SHM - no-till,SHM,CROP,No-till,ASP10,ASP,WashingtonState,Palouse,JEA,-117.4595972,46.78836851
ASP2-1,SHM - no-till,SHM,CROP,No-till,ASP2,ASP,WashingtonState,Palouse,CK,-117.0822114,46.78188975
ASP2-2,SHM - no-till,SHM,CROP,No-till,ASP2,ASP,WashingtonState,Palouse,CK,-117.0822114,46.78188975
