project,soil,dsp_pedon_id,pedon_x,pedon_y,ID,mat,map,climate
KansasState,Keith,KeC1-1,-100.557271,39.244626,1,11.226166725158691,521,cool_dry
KansasState,Keith,KeC1-2,-100.557271,39.244626,2,11.226166725158691,521,cool_dry
KansasState,Keith,KeC1-3,-100.557271,39.244626,3,11.226166725158691,521,cool_dry
KansasState,Keith,KeC2-1,-101.0631493,39.3817794,4,10.632999420166016,486,cool_dry
KansasState,Keith,KeC2-2,-101.0632519,39.3815262,5,10.632999420166016,486,cool_dry
KansasState,Keith,KeC2-3,-101.0629297,39.3816973,6,10.632999420166016,486,cool_dry
KansasState,Keith,KeC3-1,-100.868944,39.978288,7,10.547499656677246,544,cool_dry
KansasState,Keith,KeC3-2,-100.868986,39.978452,8,10.547499656677246,544,cool_dry
KansasState,Keith,KeC3-3,-100.8687585,39.9783659,9,10.547499656677246,544,cool_dry
KansasState,Keith,KeCF1-1,-100.5431538,39.2447359,10,11.226166725158691,521,cool_dry
KansasState,Keith,KeCF1-2,-100.5430643,39.2450134,11,11.226166725158691,521,cool_dry
KansasState,Keith,KeCF1-3,-100.5427146,39.2447102,12,11.226166725158691,521,cool_dry
KansasState,Keith,KeCF3-1,-100.89697,39.9519869,13,10.63800048828125,545,cool_dry
KansasState,Keith,KeCF3-2,-100.8967806,39.9521612,14,10.63800048828125,545,cool_dry
KansasState,Keith,KeCF3-3,-100.8967806,39.9521612,15,10.63800048828125,545,cool_dry
KansasState,Keith,KeN1-1,-100.56165,39.249205,16,11.226166725158691,521,cool_dry
KansasState,Keith,KeN1-2,-100.56165,39.249205,17,11.226166725158691,521,cool_dry
KansasState,Keith,KeN1-3,-100.56165,39.249205,18,11.226166725158691,521,cool_dry
KansasState,Keith,KeN2-1,-101.0636022,39.3843208,19,10.632999420166016,486,cool_dry
KansasState,Keith,KeN2-2,-101.0636425,39.3840397,20,10.632999420166016,486,cool_dry
KansasState,Keith,KeN2-3,-101.063449,39.384217,21,10.632999420166016,486,cool_dry
KansasState,Keith,KeN3-1,-100.8692162,39.9736474,22,10.547499656677246,544,cool_dry
KansasState,Keith,KeN3-2,-100.8692095,39.9739409,23,10.547499656677246,544,cool_dry
KansasState,Keith,KeN3-3,-100.8690184,39.9737363,24,10.547499656677246,544,cool_dry
NCState,Cecil,CeC1-1,-78.6893,35.73547,25,15.360666275024414,1154,warm_wet
NCState,Cecil,CeC1-2,-78.68135,35.73571,26,15.360666275024414,1154,warm_wet
NCState,Cecil,CeC1-3,-78.68177,35.73594,27,15.360666275024414,1154,warm_wet
NCState,Cecil,CeC2-1,-78.67495,35.72791,28,15.360666275024414,1154,warm_wet
NCState,Cecil,CeC2-2,-78.67525,35.72765,29,15.360666275024414,1154,warm_wet
NCState,Cecil,CeC2-3,-78.67555,35.72739,30,15.360666275024414,1154,warm_wet
