dsp_pedon_id,label_full,label,lu,till,trt,explanation,state,project,soil,site,lat,long
IL-115-SW-WDFLD-001,BAU - Organic,BAU,CROP,Till,Organic,Organically managed in a corn-soybean-small grains rotation with cover crops established prior to corn,NA,Illinois,Drummer,Woodfield,39.866062,-88.798131
IL-115-SW-WDFLD-002,BAU - Organic,BAU,CROP,Till,Organic,Organically managed in a corn-soybean-small grains rotation with cover crops established prior to corn,NA,Illinois,Drummer,Woodfield,39.865395,-88.799917
IL-115-SW-WDFLD-003,BAU - Organic,BAU,CROP,Till,Organic,Organically managed in a corn-soybean-small grains rotation with cover crops established prior to corn,NA,Illinois,Drummer,Woodfield,39.868482,-88.798039
IL-115-SW-ETAL-001,BAU - Organic,BAU,CROP,Till,Organic,Organically managed in a corn-soybean-small grains rotation with cover crops established prior to corn,NA,Illinois,Drummer,Etal,39.895068,-88.745608
IL-115-SW-ETAL-002,BAU - Organic,BAU,CROP,Till,Organic,Organically managed in a corn-soybean-small grains rotation with cover crops established prior to corn,NA,Illinois,Drummer,Etal,39.895384,-88.746645
IL-115-SW-ETAL-003,BAU - Organic,BAU,CROP,Till,Organic,Organically managed in a corn-soybean-small grains rotation with cover crops established prior to corn,NA,Illinois,Dana,Etal,39.90146,-88.746587
IL-147-SW-TS-001,BAU - Conventional,BAU,CROP,Till,Conventional,Conventionally managed field in a corn-soybean rotation with cover crops established prior to corn,NA,Illinois,Drummer,Taylor South,39.876683,-88.700021
IL-147-SW-TS-002,BAU - Conventional,BAU,CROP,Till,Conventional,Conventionally managed field in a corn-soybean rotation with cover crops established prior to corn,NA,Illinois,Drummer,Taylor South,39.878541,-88.700776
IL-147-SW-TS-003,BAU - Conventional,BAU,CROP,Till,Conventional,Conventionally managed field in a corn-soybean rotation with cover crops established prior to corn,NA,Illinois,Drummer,Taylor South,39.878261,-88.705988
IL-147-SW-CRP-001,BAU - Conventional,BAU,CROP,Till,Conventional,Conventionally managed field in a corn-soybean rotation with cover crops established prior to corn,NA,Illinois,Drummer,Cripe,39.895694,-88.743611
IL-147-SW-CRP-002,BAU - Conventional,BAU,CROP,Till,Conventional,Conventionally managed field in a corn-soybean rotation with cover crops established prior to corn,NA,Illinois,Flanagan,Cripe,39.896889,-88.743611
IL-147-SW-CRP-003,BAU - Conventional,BAU,CROP,Till,Conventional,Conventionally managed field in a corn-soybean rotation with cover crops established prior to corn,NA,Illinois,Dana,Cripe,39.898194,-88.743333
IL-019-SW-ARBRTM-001,Ref - Ref,Ref,FOREST,Perennial,Ref,Restored since 1990,NA,Illinois,Drummer,Arboretum,40.0916401,-88.216396
IL-019-SW-ARBRTM-002,Ref - Ref,Ref,FOREST,Perennial,Ref,Restored since 1990,NA,Illinois,Drummer,Arboretum,40.0918033,-88.2161899
IL-019-SW-ARBRTM-003,Ref - Ref,Ref,FOREST,Perennial,Ref,Restored since 1990,NA,Illinois,Drummer,Arboretum,40.0914285,-88.2159005
IL-019-SW-RTHRML-001,SHM - NT,SHM,CROP,No-till,NT,No-Till managed with corn-soybean rotations,NA,Illinois,Drummer,Rothermel,39.9295,-88.0238
IL-019-SW-RTHRML-002,SHM - NT,SHM,CROP,No-till,NT,No-Till managed with corn-soybean rotations,NA,Illinois,Drummer,Rothermel,39.9295,-88.0238
IL-019-SW-RTHRML-003,SHM - NT,SHM,CROP,No-till,NT,No-Till managed with corn-soybean rotations,NA,Illinois,Flanagan,Rothermel,39.9254322,-88.0275783
IL-019-SW-RTHRML-004,SHM - NT,SHM,CROP,No-till,NT,No-Till managed with corn-soybean rotations,NA,Illinois,Flanagan,Rothermel,39.9254322,-88.0275783
IL-115-SW-WDFLD-001A,BAU - Organic,BAU,CROP,Till,Organic,Organically managed in a corn-soybean-small grains rotation with cover crops established prior to corn,NA,Illinois,Drummer,Woodfield,39.866062,-88.798131
IL-115-SW-ETAL-001A,BAU - Organic,BAU,CROP,Till,Organic,Organically managed in a corn-soybean-small grains rotation with cover crops established prior to corn,NA,Illinois,Drummer,Etal,39.895068,-88.745608
IL-147-SW-TS-003A,BAU - Conventional,BAU,CROP,Till,Conventional,Conventionally managed field in a corn-soybean rotation with cover crops established prior to corn,NA,Illinois,Drummer,Taylor South,39.878261,-88.705988
IL-147-SW-CRP-001A,BAU - Conventional,BAU,CROP,Till,Conventional,Conventionally managed field in a corn-soybean rotation with cover crops established prior to corn,NA,Illinois,Drummer,Cripe,39.895694,-88.743611
IL-019-SW-RTHRML-001A,SHM - NT,SHM,CROP,No-till,NT,No-Till managed with corn-soybean rotations,NA,Illinois,Drummer,Rothermel,39.9295,-88.0238
IL-019-SW-RTHRML-004A,SHM - NT,SHM,CROP,No-till,NT,No-Till managed with corn-soybean rotations,NA,Illinois,Flanagan,Rothermel,39.92541,-88.027589
JoF1 - 1,Ref - Forest,Ref,FOREST,Perennial,Forest,"Douglas fir trees 25-30 years old, McDonald Dunn Research Forest at Lewisburg Saddle.",NA,OregonState,Jory,OSU1,44.6361175,-123.2972812
JoF1 - 2,Ref - Forest,Ref,FOREST,Perennial,Forest,"Douglas fir trees 25-30 years old, McDonald Dunn Research Forest at Lewisburg Saddle.",NA,OregonState,Jory,OSU1,44.6362175,-123.2973802
JoF1 - 3,Ref - Forest,Ref,FOREST,Perennial,Forest,"Douglas fir trees 25-30 years old, McDonald Dunn Research Forest at Lewisburg Saddle.",NA,OregonState,Jory,OSU1,44.6358175,-123.2974823
JoF2 - 1,Ref - Forest,Ref,FOREST,Perennial,Forest,Douglas fir trees were last harvested 25 years ago,NA,OregonState,Jory,OSU2,44.918413,-123.355451
JoF2 - 2,Ref - Forest,Ref,FOREST,Perennial,Forest,Douglas fir trees were last harvested 25 years ago,NA,OregonState,Jory,OSU2,44.918544,-123.355551
JoF2 - 3,Ref - Forest,Ref,FOREST,Perennial,Forest,Douglas fir trees were last harvested 25 years ago,NA,OregonState,Jory,OSU2,44.918514,-123.355451
