dsp_pedon_id,soc_stock_30cm,soc_stock_100cm,dsp_plot_id,dspplotmgt_id,label_full,label,lu,till,trt,explanation,gen_state,site,project,soil,lat,long,ID,mat,map,climate,single_ring_infiltration_1,single_ring_infiltration_2,cornell_infiltrometer,soc_pct,bulk_density,tn_pct,kssl_wsa,yoder_agg_stab_mwd,p_h,soil_respiration,bglucosidase,bglucosaminidase,alkaline_phosphatase,acid_phosphatase,phosphodiesterase,arylsulfatase,pox_c,ace
ALT-1,123.4483576481335,163.7175072459925,ALT,1,SHM-no till,SHM,CROP,No-till,"No-till (cover crop, no-fertilizer). Soybean. Soybean","Western field, 50-acre section with grass waterway running south of field; bordered by hay",AG-CROP,Mower,UnivOfMinnesota,Marquis,43.74984,-92.85464,248,6.805333614349365,821,cool_dry,NA,NA,NA,2.9871,1.316609735,NA,3.78,2.07,NA,1.11,215.02,52.76,162.27,350.74,NA,163.33,697.01,5.25
ALT-2,148.4126585757459,261.5199909615859,ALT,1,SHM-no till,SHM,CROP,No-till,"No-till (cover crop, no-fertilizer). Soybean. Soybean","Western field, 50-acre section with grass waterway running south of field; bordered by hay",AG-CROP,Mower,UnivOfMinnesota,Marquis,43.74981,-92.85499,249,6.805333614349365,821,cool_dry,NA,NA,NA,4.0545,1.04252655,NA,11.11,2.25,NA,1.09,216.16,45.79,165.47,287.28,NA,146.48,778.31,6.93
ALT-3,92.1687251628563,148.97071391417032,ALT,1,SHM-no till,SHM,CROP,No-till,"No-till (cover crop, no-fertilizer). Soybean. Soybean","Western field, 50-acre section with grass waterway running south of field; bordered by hay",AG-CROP,Mower,UnivOfMinnesota,Marquis,43.74953,-92.85457,250,6.805333614349365,821,cool_dry,NA,NA,NA,2.5567,1.169675655,NA,10,2.24,NA,0.98,237.82,49.98,179.69,340.12,NA,186.4,704.14,6.79
ALT-4,148.3933375925605,191.47084327406378,ALT,1,SHM-no till,SHM,CROP,No-till,"No-till (cover crop, no-fertilizer). Soybean. Soybean","Western field, 50-acre section with grass waterway running south of field; bordered by hay",AG-CROP,Mower,UnivOfMinnesota,Marquis,NA,NA,NA,NA,NA,cool_dry,NA,NA,NA,3.5552,1.390639102,NA,11.62,2.6,NA,0.99,229.5,53.62,245.19,364.64,NA,166.55,858.22,6.75
ALT-5,197.3786592226755,239.60118888664311,ALT,1,SHM-no till,SHM,CROP,No-till,"No-till (cover crop, no-fertilizer). Soybean. Soybean","Western field, 50-acre section with grass waterway running south of field; bordered by hay",AG-CROP,Mower,UnivOfMinnesota,Marquis,NA,NA,NA,NA,NA,cool_dry,NA,NA,NA,3.3989,1.366715421,NA,9.24,1.76,NA,0.97,231.01,48.21,235.25,377.3,NA,180.22,749.03,6.34
ALT-6,134.8959521812078,195.9031400433392,ALT,1,SHM-no till,SHM,CROP,No-till,"No-till (cover crop, no-fertilizer). Soybean. Soybean","Western field, 50-acre section with grass waterway running south of field; bordered by hay",AG-CROP,Mower,UnivOfMinnesota,Marquis,NA,NA,NA,NA,NA,cool_dry,NA,NA,NA,3.3997,1.136675402,NA,8.99,1.81,NA,1.02,183.3,42.49,123.59,335.31,NA,147.44,657.25,7.54
ALT-7,165.6533910513961,219.9683815733797,ALT,1,SHM-no till,SHM,CROP,No-till,"No-till (cover crop, no-fertilizer). Soybean. Soybean","Western field, 50-acre section with grass waterway running south of field; bordered by hay",AG-CROP,Mower,UnivOfMinnesota,Marquis,43.74876,-92.85348,254,6.805333614349365,821,cool_dry,NA,NA,NA,3.0791,1.121708074,NA,17.78,1.94,NA,0.71,186.66,35.04,129.69,360.3,NA,123.49,584.1,6.27
ALT-8,129.84561098844938,168.9756300807838,ALT,1,SHM-no till,SHM,CROP,No-till,"No-till (cover crop, no-fertilizer). Soybean. Soybean","Western field, 50-acre section with grass waterway running south of field; bordered by hay",AG-CROP,Mower,UnivOfMinnesota,Marquis,43.74855,-92.85374,255,6.805333614349365,821,cool_dry,NA,NA,NA,3.0299,1.3387643869999999,NA,20.91,2.4,NA,0.79,223.56,52.43,157.85,325.35,NA,157.63,614.54,6.71
ALT-9,150.8668511771504,243.9387368722032,ALT,1,SHM-no till,SHM,CROP,No-till,"No-till (cover crop, no-fertilizer). Soybean. Soybean","Western field, 50-acre section with grass waterway running south of field; bordered by hay",AG-CROP,Mower,UnivOfMinnesota,Marquis,NA,NA,NA,NA,NA,cool_dry,NA,NA,NA,3.0299,1.303540072,NA,34.17,1.97,NA,0.82,170.28,31.11,102.85,285.4,NA,141.14,624.45,7.45
AR2-1,37.86636460995,NA,AR2,2,Ref - Reference,Ref,FOREST,Perennial,Reference,"Native treeline composed of mesquite, hackberry, anacua and others. No major disturbances in over 50 years.",Reference,UTRGV10,UTRGV,Hidalgo,26.309166,-98.203663,135,23.37433433532715,590,warm_dry,1.781,1.2331,0.708,0.97,1.977215116,0.0632,2.813299233,0.288711503,8.71,17.17779793,536.695279,NA,NA,NA,NA,NA,718.1784,0.8637808
AR2-2,71.20026126455,NA,AR2,2,Ref - Reference,Ref,FOREST,Perennial,Reference,"Native treeline composed of mesquite, hackberry, anacua and others. No major disturbances in over 50 years.",Reference,UTRGV10,UTRGV,Hidalgo,26.30907954,-98.20307,136,23.37433433532715,590,warm_dry,3.4887,2.1167,3.47,1.33,2.354243757,0.0154,8.070175439,1.248546777,8.53,20.79525,335.6808428,NA,NA,NA,NA,NA,717.3144,1.2836424
AR2-3,97.4863786082,NA,AR2,2,Ref - Reference,Ref,FOREST,Perennial,Reference,"Native treeline composed of mesquite, hackberry, anacua and others. No major disturbances in over 50 years.",Reference,UTRGV10,UTRGV,Hidalgo,26.30896,-98.202272,137,23.37433433532715,590,warm_dry,10.048,2.3446,7.19,2.79,2.304128668,0.105,8.049702863,1.041929398,8.47,27.34110256,300.0390168,NA,NA,NA,NA,NA,716.7312,7.3189336
AR3-1,119.89706493385,NA,AR3,3,Ref - Reference,Ref,FOREST,Perennial,Reference,"Native treeline composed of mesquite, Texas ebony, and others. Undisturbed in landowner's memory (60+ year). Area catches sand deposited by strong winds.",Reference,UTRGV11,UTRGV,Hidalgo,26.425936,-97.865571,138,22.996166229248047,682,warm_dry,10.783,27.4595,28.55,3.17,0.887988889,0.197,0.26652452,2.601798428,8.25,23.15332734,686.9781506,NA,NA,NA,NA,NA,719.1936,6.9327928
AR3-2,91.56810214664999,NA,AR3,3,Ref - Reference,Ref,FOREST,Perennial,Reference,"Native treeline composed of mesquite, Texas ebony, and others. Undisturbed in landowner's memory (60+ year). Area catches sand deposited by strong winds.",Reference,UTRGV11,UTRGV,Hidalgo,26.42575,-97.86555,139,22.996166229248047,682,warm_dry,20.5022,7.3094,9.97,3.45,1.842895021,0.249,1.002638522,2.015355982,7.99,24.56323567,235.0370659,NA,NA,NA,NA,NA,717.3576,5.0330792
AR3-3,140.89977950605,NA,AR3,3,Ref - Reference,Ref,FOREST,Perennial,Reference,"Native treeline composed of mesquite, Texas ebony, and others. Undisturbed in landowner's memory (60+ year). Area catches sand deposited by strong winds.",Reference,UTRGV11,UTRGV,Hidalgo,26.425912,-97.863987,140,22.996166229248047,682,warm_dry,123.5676,29.8824,30.624,8.83,1.156531958,0.367,8.11287478,2.656668836,7.38,22.65052796,598.8294967,NA,NA,NA,NA,NA,718.2432,10.8503048
ASP10-1,46.25691395348838,74.66571395348838,ASP10,4,SHM - no-till,SHM,CROP,No-till,ASP10,ASP,AG-CROP,JEA,WashingtonState,Palouse,46.78836813,-117.4595977,278,9.623666763305664,461,cool_dry,NA,NA,NA,2.18,NA,0.15838,55.63,1.810656287,5.54,171.1,66.3937741,54.81251018,-0.790964449,8.082001258,85.54757649,5.932349045,343.3,6.849
ASP10-2,38.131627906976746,61.45102790697675,ASP10,4,SHM - no-till,SHM,CROP,No-till,ASP10,ASP,AG-CROP,JEA,WashingtonState,Palouse,46.788368,-117.4595978,280,9.623666763305664,461,cool_dry,NA,NA,NA,1.63,NA,0.12911,25.3,1.051020279,7.56,159.7,46.03036345,80.90404078,-2.118387896,53.27901,71.42320912,2.458579628,181.8,3.6796
ASP10-3,21.847637209302327,26.656337209302325,ASP10,4,SHM - no-till,SHM,CROP,No-till,ASP10,ASP,AG-CROP,JEA,WashingtonState,Palouse,46.78836851,-117.4595972,281,9.623666763305664,461,cool_dry,NA,NA,NA,0.77,NA,0.06686,11.03,4.796525403,7.01,142.6,55.19144282,24.56852087,18.46740918,78.03301814,33.82051519,20.38928365,326.1,2.1788
ASP2-1,131.620446,183.80327515,ASP2,5,SHM - no-till,SHM,CROP,No-till,ASP2,ASP,AG-CROP,CK,WashingtonState,Palouse,46.78188975,-117.0822114,268,8.233333587646484,611,cool_dry,NA,NA,NA,2.8592,0.76,0.19453,33.64,4.143359638,4.92,302.3,92.32492971,49.98644567,11.3304166,11.3955559,3.332918425,2.971055524,530.8,7.4929
ASP2-2,50.670959,115.48901900000001,ASP2,5,SHM - no-till,SHM,CROP,No-till,ASP2,ASP,AG-CROP,CK,WashingtonState,Palouse,46.78188975,-117.0822114,270,8.233333587646484,611,cool_dry,NA,NA,NA,2.6852,0.51,0.1982,19.28,1.953784821,5.22,330.8,26.66499426,46.26058723,2.676721994,96.84619903,6.288661121,12.30296086,224.9,5.716
