cooplabmst_id,dsp_sample_id,dsp_pedon_id,layer_no_lab,dsp_pedon,sand_pct,silt_pct,clay_pct_lab,texture,bulk_density,water_content,soc_pct,tc_pct,tn_pct,kssl_wsa,yoder_agg_stab_mwd,yoder_agg_stab_total_ws,yoder_ws_2_8,yoder_ws_pt5_2,yoder_ws_250_500,yoder_ws_53_250,ec,p_h,soil_respiration,bglucosidase,bglucosaminidase,alkaline_phosphatase,acid_phosphatase,phosphodiesterase,arylsulfatase,pox_c,ace,weoc,weon,effervescence,plfa_id,kssl_labsampnum,hzdesg,hrzdep_t,hrzdep_b,layerdes_id,layer_no_field,field_texture,coarse_frag_volume,clay_pct_field,color_moist_hue,color_moist_value,color_moist_chroma,color_dry_hue,color_dry_value,color_dry_chroma,depletions_knd,depletions_col_h,depletions_col_v,depletions_col_c,ped_surf_feat_knd,ped_surf_feat_amt,ped_surf_feat_loc,conc_knd,conc_qty,conc_size,conc_cont,conc_col_h,conc_col_v,conc_col_c,conc_mst,conc_shp,conc_loc,structure_grade,structure_size,structure_type,consistence_rup_res_mst,consistence_rup_res_dry,consistence_stk,consistence_pls,roots_qty1,roots_sz1,roots_qty2,roots_sz2,roots_qty3,roots_sz3,roots_loc,pores_qty1,pores_sz1,pores_qty2,pores_sz2,pores_qty3,pores_sz3,pores_shp,roots_qty4,roots_sz4,roots_qty5,roots_sz5,pores_qty4,pores_sz4,pores_qty5,pores_sz5,dsp_plot_id,dspplotmgt_id,label_full,label,lu,till,trt,explanation,gen_state,site,project,soil,genhz,bd_fill,soc_fill,coarse_frag_fill,hrzdepth,cf_mult,soc_stock_hrz,lat,long,ID,mat,map,climate,single_ring_infiltration_1,single_ring_infiltration_2,cornell_infiltrometer
108,KeC1 - 1-1,KeC1 - 1,1,S2018KS179110,NA,NA,NA,,1.11023909,0.27,2.17,NA,NA,10,0.507324803,NA,NA,NA,NA,NA,NA,NA,1.064809976,77.5806569,104.407741,32.47043952,275.5157323,28.48571991,6.567889988,496.1191361,7.997775606,NA,NA,,KS-179-SW-110-1-0_5-2018,19N02553,Ap1,0,5,357,1,SIL  ,0,24,10YR,3,3,,NA,NA,NA,-,NA,NA,,,,,,NA,,,NA,NA,,,,2,M,SBK,NA,NA,NA,NA,7,F,NA,,NA,,T,2,F,NA,,NA,,DT,NA,NA,NA,NA,NA,NA,NA,NA,KeC1,46,BAU,BAU,CROP,Till,Till with rotation (eco-fallow),"Eco-Fallow Rotation.  Summer fallow is reg tillage, driled to wheat, spray stubble after harvest.  No-till corn, then fallow. (Fallow is the tillage part and wheat stubble is cleaned) No disc, just a sweep plow",AG-CROP,NA,KansasState,Keith,A,1.11023909,2.17,0,5,1,12.0460941265,39.244626,-100.557271,156,11.226166725158691,521,cool_dry,NA,NA,NA
109,KeC1 - 1-2,KeC1 - 1,2,S2018KS179110,NA,NA,NA,,1.420685092,0.2,1.9,NA,NA,13.33333333,0.313069575,NA,NA,NA,NA,NA,NA,NA,1.003563314,54.69240416,47.25891735,40.35378441,268.2230102,31.0761933,8.60070093,459.1304348,6.834202952,NA,NA,,KS-179-SW-110-2-5_10-2018,19N02554,Ap1,5,10,358,2,SIL  ,0,24,10YR,3,3,,NA,NA,NA,-,NA,NA,,,,,,NA,,,NA,NA,,,,2,M,SBK,NA,NA,NA,NA,7,F,NA,,NA,,T,2,F,NA,,NA,,DT,NA,NA,NA,NA,NA,NA,NA,NA,KeC1,46,BAU,BAU,CROP,Till,Till with rotation (eco-fallow),"Eco-Fallow Rotation.  Summer fallow is reg tillage, driled to wheat, spray stubble after harvest.  No-till corn, then fallow. (Fallow is the tillage part and wheat stubble is cleaned) No disc, just a sweep plow",AG-CROP,NA,KansasState,Keith,A,1.420685092,1.9,0,5,1,13.496508374000001,39.244626,-100.557271,156,11.226166725158691,521,cool_dry,NA,NA,NA
110,KeC1 - 1-3,KeC1 - 1,3,S2018KS179110,NA,NA,NA,,1.269239791,0.2,1.61,NA,NA,16.66666667,0.637495358,NA,NA,NA,NA,NA,NA,NA,0.847963289,67.5017613,44.57900088,147.660917,389.6314171,65.07012822,25.21829198,389.5283529,3.227247185,NA,NA,,KS-179-SW-110-3-10_23-2018,19N02555,Ap2,10,23,359,3,SICL ,0,28,10YR,2,2,,NA,NA,NA,-,NA,NA,,,,,,NA,,,NA,NA,,,,2,M,SBK,NA,NA,NA,NA,7,F,NA,,NA,,T,2,F,NA,,NA,,DT,NA,NA,NA,NA,NA,NA,NA,NA,KeC1,46,BAU,BAU,CROP,Till,Till with rotation (eco-fallow),"Eco-Fallow Rotation.  Summer fallow is reg tillage, driled to wheat, spray stubble after harvest.  No-till corn, then fallow. (Fallow is the tillage part and wheat stubble is cleaned) No disc, just a sweep plow",AG-CROP,NA,KansasState,Keith,A,1.269239791,1.61,0,13,1,26.56518882563,39.244626,-100.557271,156,11.226166725158691,521,cool_dry,NA,NA,NA
111,KeC1 - 1-4,KeC1 - 1,4,S2018KS179110,NA,NA,NA,,1.277334863,0.23,1.14,NA,NA,18.33333333,0.877940981,NA,NA,NA,NA,NA,NA,NA,0.811817506,34.51686004,37.0352107,195.3996704,231.1459522,188.0698757,55.79728623,286.1524014,1.710420726,NA,NA,,KS-179-SW-110-4-23_36-2018,19N02556,Bt1,23,36,360,4,SICL ,0,35,10YR,3,3,,NA,NA,NA,-,NA,NA,,,,,,NA,,,NA,NA,,,,2,M,PR,NA,NA,NA,NA,7,VF,NA,,NA,,T,2,F,NA,,NA,,DT,NA,NA,NA,NA,NA,NA,NA,NA,KeC1,46,BAU,BAU,CROP,Till,Till with rotation (eco-fallow),"Eco-Fallow Rotation.  Summer fallow is reg tillage, driled to wheat, spray stubble after harvest.  No-till corn, then fallow. (Fallow is the tillage part and wheat stubble is cleaned) No disc, just a sweep plow",AG-CROP,NA,KansasState,Keith,Bt,1.277334863,1.14,0,13,1,18.930102669660002,39.244626,-100.557271,156,11.226166725158691,521,cool_dry,NA,NA,NA
112,KeC1 - 1-5,KeC1 - 1,5,S2018KS179110,NA,NA,NA,,1.324462422,0.22,0.78,NA,NA,16.66666667,0.90935168,NA,NA,NA,NA,NA,NA,NA,0.779057826,27.63962376,29.33053359,166.6281385,81.79968338,116.19129650000001,32.46407388,180.919841,1.270259465,NA,NA,,KS-179-SW-110-5-36_54-2018,19N02557,Bt2,36,54,361,5,SICL ,0,38,10YR,4,3,,NA,NA,NA,-,NA,NA,,,,,,NA,,,NA,NA,,,,2,M,PR,NA,NA,NA,NA,7,VF,NA,,NA,,T,2,F,NA,,NA,,DT,NA,NA,NA,NA,NA,NA,NA,NA,KeC1,46,BAU,BAU,CROP,Till,Till with rotation (eco-fallow),"Eco-Fallow Rotation.  Summer fallow is reg tillage, driled to wheat, spray stubble after harvest.  No-till corn, then fallow. (Fallow is the tillage part and wheat stubble is cleaned) No disc, just a sweep plow",AG-CROP,NA,KansasState,Keith,Bt,1.324462422,0.78,0,18,1,18.595452404880003,39.244626,-100.557271,156,11.226166725158691,521,cool_dry,NA,NA,NA
113,KeC1 - 1-6,KeC1 - 1,6,S2018KS179110,NA,NA,NA,,1.403438092,0.18,0.6,NA,NA,26.66666667,0.898082891,NA,NA,NA,NA,NA,NA,NA,0.88160834,19.62190038,11.27612866,93.9339485,23.23641636,61.62334584,38.66092137,124.881878,1.083677601,NA,NA,,KS-179-SW-110-6-54_69-2018,19N02558,Btk1,54,69,362,6,SICL ,0,32,10YR,4,3,,NA,NA,NA,-,NA,NA,,,,,,NA,,,NA,NA,,,,2,M,PR,NA,NA,NA,NA,7,VF,NA,,NA,,T,2,F,NA,,NA,,DT,NA,NA,NA,NA,NA,NA,NA,NA,KeC1,46,BAU,BAU,CROP,Till,Till with rotation (eco-fallow),"Eco-Fallow Rotation.  Summer fallow is reg tillage, driled to wheat, spray stubble after harvest.  No-till corn, then fallow. (Fallow is the tillage part and wheat stubble is cleaned) No disc, just a sweep plow",AG-CROP,NA,KansasState,Keith,Btk,1.403438092,0.6,0,15,1,12.630942828,39.244626,-100.557271,156,11.226166725158691,521,cool_dry,NA,NA,NA
114,KeC1 - 1-7,KeC1 - 1,7,S2018KS179110,NA,NA,NA,,1.287678566,0.19,0.83,NA,NA,6.666666667,0.580567087,NA,NA,NA,NA,NA,NA,NA,0.924530943,16.42682371,7.878261069,85.2971646,13.5858194,33.53780725,28.20208421,110.7485733,1.047286371,NA,NA,,KS-179-SW-110-7-69_87-2018,19N02559,Btk2,69,87,363,7,SIL  ,0,23,10YR,5,3,,NA,NA,NA,-,NA,NA,,,,CAM,2%,NA,  F,10YR,7,2,,D,,2,CO,PR,NA,NA,NA,NA,7,VF,NA,,NA,,T,3,F,NA,,NA,,VE,NA,NA,NA,NA,NA,NA,NA,NA,KeC1,46,BAU,BAU,CROP,Till,Till with rotation (eco-fallow),"Eco-Fallow Rotation.  Summer fallow is reg tillage, driled to wheat, spray stubble after harvest.  No-till corn, then fallow. (Fallow is the tillage part and wheat stubble is cleaned) No disc, just a sweep plow",AG-CROP,NA,KansasState,Keith,Btk,1.287678566,0.83,0,18,1,19.23791777604,39.244626,-100.557271,156,11.226166725158691,521,cool_dry,NA,NA,NA
115,KeC1 - 1-8,KeC1 - 1,8,S2018KS179110,NA,NA,NA,,1.111048597,0.19,0.53,NA,NA,6.666666667,0.344307477,NA,NA,NA,NA,NA,NA,NA,0.811894469,11.43061655,6.174033791,43.0205342,8.566509496,17.17591882,20.63371909,65.14731103,0.809178416,NA,NA,,KS-179-SW-110-8-87_100-2018,19N02560,Bk,87,100,364,8,SIL  ,0,21,10YR,5,4,,NA,NA,NA,-,NA,NA,,,,CAM,2%,NA,  F,10YR,7,2,,D,,2,CO,PR,NA,NA,NA,NA,7,VF,NA,,NA,,T,3,F,NA,,NA,,VE,NA,NA,NA,NA,NA,NA,NA,NA,KeC1,46,BAU,BAU,CROP,Till,Till with rotation (eco-fallow),"Eco-Fallow Rotation.  Summer fallow is reg tillage, driled to wheat, spray stubble after harvest.  No-till corn, then fallow. (Fallow is the tillage part and wheat stubble is cleaned) No disc, just a sweep plow",AG-CROP,NA,KansasState,Keith,Bk,1.111048597,0.53,0,13,1,7.6551248333299995,39.244626,-100.557271,156,11.226166725158691,521,cool_dry,NA,NA,NA
116,KeC1 - 2-1,KeC1 - 2,1,S2018KS179111,NA,NA,NA,,1.268092989,0.23,2.1,NA,NA,6.666666667,0.567062531,NA,NA,NA,NA,NA,NA,NA,0.951311112,78.88579999,101.532134,25.57346289,244.8173586,28.37776789,4.822480668,457.86521,6.807891767,NA,NA,,KS-179-SW-111-1-0_5-2018,19N02561,Ap,0,5,365,1,SIL  ,0,23,10YR,3,2,,NA,NA,NA,-,NA,NA,,,,,,NA,,,NA,NA,,,,2,M,SBK,NA,NA,NA,NA,7,F,NA,,NA,,T,2,F,NA,,NA,,DT,NA,NA,NA,NA,NA,NA,NA,NA,KeC1,46,BAU,BAU,CROP,Till,Till with rotation (eco-fallow),"Eco-Fallow Rotation.  Summer fallow is reg tillage, driled to wheat, spray stubble after harvest.  No-till corn, then fallow. (Fallow is the tillage part and wheat stubble is cleaned) No disc, just a sweep plow",AG-CROP,NA,KansasState,Keith,A,1.268092989,2.1,0,5,1,13.3149763845,39.244626,-100.557271,157,11.226166725158691,521,cool_dry,NA,NA,NA
117,KeC1 - 2-2,KeC1 - 2,2,S2018KS179111,NA,NA,NA,,1.313695227,0.23,1.74,NA,NA,6.666666667,0.534717175,NA,NA,NA,NA,NA,NA,NA,0.846934674,31.97314049,50.72831257,30.15211167,235.3416709,20.55463615,6.715153519,361.3193288,5.55426632,NA,NA,,KS-179-SW-111-2-5_10-2018,19N02562,Ap,5,10,366,2,SIL  ,0,23,10YR,3,2,,NA,NA,NA,-,NA,NA,,,,,,NA,,,NA,NA,,,,2,M,SBK,NA,NA,NA,NA,7,F,NA,,NA,,T,2,F,NA,,NA,,DT,NA,NA,NA,NA,NA,NA,NA,NA,KeC1,46,BAU,BAU,CROP,Till,Till with rotation (eco-fallow),"Eco-Fallow Rotation.  Summer fallow is reg tillage, driled to wheat, spray stubble after harvest.  No-till corn, then fallow. (Fallow is the tillage part and wheat stubble is cleaned) No disc, just a sweep plow",AG-CROP,NA,KansasState,Keith,A,1.313695227,1.74,0,5,1,11.4291484749,39.244626,-100.557271,157,11.226166725158691,521,cool_dry,NA,NA,NA
