cooplabmst_id,dsp_sample_id,dsp_pedon_id,layer_no_lab,dsp_pedon,sand_pct,silt_pct,clay_pct_lab,texture,bulk_density,water_content,soc_pct,tc_pct,tn_pct,kssl_wsa,yoder_agg_stab_mwd,yoder_agg_stab_total_ws,yoder_ws_2_8,yoder_ws_pt5_2,yoder_ws_250_500,yoder_ws_53_250,ec,p_h,soil_respiration,bglucosidase,bglucosaminidase,alkaline_phosphatase,acid_phosphatase,phosphodiesterase,arylsulfatase,pox_c,ace,weoc,weon,effervescence,plfa_id,kssl_labsampnum,hzdesg,hrzdep_t,hrzdep_b,layerdes_id,layer_no_field,field_texture,coarse_frag_volume,clay_pct_field,color_moist_hue,color_moist_value,color_moist_chroma,color_dry_hue,color_dry_value,color_dry_chroma,depletions_knd,depletions_col_h,depletions_col_v,depletions_col_c,ped_surf_feat_knd,ped_surf_feat_amt,ped_surf_feat_loc,conc_knd,conc_qty,conc_size,conc_cont,conc_col_h,conc_col_v,conc_col_c,conc_mst,conc_shp,conc_loc,structure_grade,structure_size,structure_type,consistence_rup_res_mst,consistence_rup_res_dry,consistence_stk,consistence_pls,roots_qty1,roots_sz1,roots_qty2,roots_sz2,roots_qty3,roots_sz3,roots_loc,pores_qty1,pores_sz1,pores_qty2,pores_sz2,pores_qty3,pores_sz3,pores_shp,roots_qty4,roots_sz4,roots_qty5,roots_sz5,pores_qty4,pores_sz4,pores_qty5,pores_sz5,dsp_plot_id,dspplotmgt_id,label_full,label,lu,till,trt,explanation,gen_state,site,project,soil,genhz,bd_fill,soc_fill,coarse_frag_fill,hrzdepth,cf_mult,soc_stock_hrz
108,KeC1 - 1-1,KeC1 - 1,1,S2018KS179110,NA,NA,NA,,1.11023909,0.27,2.17,NA,NA,10,0.507324803,NA,NA,NA,NA,NA,NA,NA,1.064809976,77.5806569,104.407741,32.47043952,275.5157323,28.48571991,6.567889988,496.1191361,7.997775606,NA,NA,NA,KS-179-SW-110-1-0_5-2018,19N02553,Ap1,0,5,357,1,SIL  ,0,24,10YR,3,3,,NA,NA,NA,-,NA,NA,,,,,,NA,,,NA,NA,,,,2,M,SBK,NA,NA,NA,NA,7,F,NA,,NA,,T,2,F,NA,,NA,,DT,NA,NA,NA,NA,NA,NA,NA,NA,KeC1,46,BAU,BAU,CROP,Till,Till with rotation (eco-fallow),"Eco-Fallow Rotation.  Summer fallow is reg tillage, driled to wheat, spray stubble after harvest.  No-till corn, then fallow. (Fallow is the tillage part and wheat stubble is cleaned) No disc, just a sweep plow",AG-CROP,NA,KansasState,Keith,A,1.11023909,2.17,0,5,1,12.0460941265
116,KeC1 - 2-1,KeC1 - 2,1,S2018KS179111,NA,NA,NA,,1.268092989,0.23,2.1,NA,NA,6.666666667,0.567062531,NA,NA,NA,NA,NA,NA,NA,0.951311112,78.88579999,101.532134,25.57346289,244.8173586,28.37776789,4.822480668,457.86521,6.807891767,NA,NA,NA,KS-179-SW-111-1-0_5-2018,19N02561,Ap,0,5,365,1,SIL  ,0,23,10YR,3,2,,NA,NA,NA,-,NA,NA,,,,,,NA,,,NA,NA,,,,2,M,SBK,NA,NA,NA,NA,7,F,NA,,NA,,T,2,F,NA,,NA,,DT,NA,NA,NA,NA,NA,NA,NA,NA,KeC1,46,BAU,BAU,CROP,Till,Till with rotation (eco-fallow),"Eco-Fallow Rotation.  Summer fallow is reg tillage, driled to wheat, spray stubble after harvest.  No-till corn, then fallow. (Fallow is the tillage part and wheat stubble is cleaned) No disc, just a sweep plow",AG-CROP,NA,KansasState,Keith,A,1.268092989,2.1,0,5,1,13.3149763845
123,KeC1 - 3-1,KeC1 - 3,1,S2018KS179112,NA,NA,NA,,0.989217767,0.25,2.12,NA,NA,13.33333333,0.628437999,NA,NA,NA,NA,NA,NA,NA,1.008468461,79.21897723,90.72272663,48.52059423,347.4646757,45.83161674,4.009632534,481.2834225,7.363731581,NA,NA,NA,KS-179-SW-112-1-0_5-2018,19N02568,Ap1,0,5,372,1,SIL  ,0,24,10YR,3,2,,NA,NA,NA,-,NA,NA,,,,,,NA,,,NA,NA,,,,2,M,SBK,NA,NA,NA,NA,7,F,NA,,NA,,T,2,F,NA,,NA,,TU,NA,NA,NA,NA,NA,NA,NA,NA,KeC1,46,BAU,BAU,CROP,Till,Till with rotation (eco-fallow),"Eco-Fallow Rotation.  Summer fallow is reg tillage, driled to wheat, spray stubble after harvest.  No-till corn, then fallow. (Fallow is the tillage part and wheat stubble is cleaned) No disc, just a sweep plow",AG-CROP,NA,KansasState,Keith,A,0.989217767,2.12,0,5,1,10.485708330200001
130,KeC2 - 1-1,KeC2 - 1,1,S2018KS193101,NA,NA,NA,,0.933968903,0.253132832,2.37,NA,NA,7,0.508598397,NA,NA,NA,NA,NA,NA,NA,0.933778193,221.7331907,170.0381488,38.90491681,469.3799911,103.1812369,4.710299883,483.7589264,8.386554648,NA,NA,NA,KS-193-SW-101-1-0_5-2018,19N02575,Ap1,0,5,379,1,SIL  ,0,16,10YR,3,2,,NA,NA,NA,-,NA,NA,,,,,,NA,,,NA,NA,,,,2,F,GR,NA,NA,NA,NA,7,F,NA,,NA,,T,4,VF,NA,,NA,,TU,NA,NA,NA,NA,NA,NA,NA,NA,KeC2,47,BAU,BAU,CROP,Till,Tilled once every 3 years.  Sorghum/wheat/corn,"Tilled once every 3 years.  Sorghum '15, tilled summer 2016, wheat '16, corn '18",AG-CROP,NA,KansasState,Keith,A,0.933968903,2.37,0,5,1,11.06753150055
138,KeC2 - 2-1,KeC2 - 2,1,S2018KS193102,NA,NA,NA,,1.382098583,0.238916256,2.28,NA,NA,8.333333333,0.351567086,NA,NA,NA,NA,NA,NA,NA,0.939737848,158.1702189,118.3062187,41.77615452,486.5852483,119.9268848,7.789811728,389.4061969,8.108058201,NA,NA,NA,KS-193-SW-102-1-0_5-2018,19N02583,Ap1,0,5,387,1,SIL  ,0,18,10YR,3,2,,NA,NA,NA,-,NA,NA,,,,,,NA,,,NA,NA,,,,1,M,PL,NA,NA,NA,NA,7,VF,NA,,NA,,P,2,F,NA,,NA,,TU,NA,NA,NA,NA,NA,NA,NA,NA,KeC2,47,BAU,BAU,CROP,Till,Tilled once every 3 years.  Sorghum/wheat/corn,"Tilled once every 3 years.  Sorghum '15, tilled summer 2016, wheat '16, corn '18",AG-CROP,NA,KansasState,Keith,A,1.382098583,2.28,0,5,1,15.7559238462
146,KeC2 - 3-1,KeC2 - 3,1,S2018KS193103,NA,NA,NA,,1.15759526,0.23095823100000001,2.09,NA,NA,17,0.495940304,NA,NA,NA,NA,NA,NA,NA,0.847567175,155.0866904,86.92131012,48.43884409,431.7322695,86.61744088,8.196012608,496.4943717,6.921658641,NA,NA,NA,KS-193-SW-103-1-0_5-2018,19N02591,Ap1,0,5,395,1,SIL  ,0,17,10YR,3,2,,NA,NA,NA,-,NA,NA,,,,,,NA,,,NA,NA,,,,1,M,PL,NA,NA,NA,NA,7,VF,NA,,NA,,T,2,F,NA,,NA,,TU,NA,NA,NA,NA,NA,NA,NA,NA,KeC2,47,BAU,BAU,CROP,Till,Tilled once every 3 years.  Sorghum/wheat/corn,"Tilled once every 3 years.  Sorghum '15, tilled summer 2016, wheat '16, corn '18",AG-CROP,NA,KansasState,Keith,A,1.15759526,2.09,0,5,1,12.096870466999999
22,KeC3 - 1-1,KeC3 - 1,1,S2018KS153104,NA,NA,NA,,1.3557896,0.2,3.79,NA,NA,4.833333333,0.307503796,NA,NA,NA,NA,NA,NA,NA,1.471433049,157.6381994,92.93264955,483.968254,1087.450651,26.38337845,NA,828.1734547,6.518869454,NA,NA,NA,KS-153-SW-104-1-0_5-2018,19N02641,Ap1,0,5,273,1,SIL<a0>,0,23,10YR,3,3,,NA,NA,NA,-,NA,NA,,,,,,NA,,,NA,NA,,,,1,M,SBK,NA,NA,NA,NA,2,F,NA,,NA,,T,2,F,NA,,NA,,DT,NA,NA,NA,NA,NA,NA,NA,NA,KeC3,48,BAU,BAU,CROP,Till,Till converting to no-till,"Conventional tillage estimated at every two years until 2018, 2018 was first year of no-till.  Recently purchased fields.""Tillage Until 2018""<a0>",AG-CROP,NA,KansasState,Keith,A,1.3557896,3.79,0,5,1,25.69221292
29,KeC3 - 2-1,KeC3 - 2,1,S2018KS153105,NA,NA,NA,,1.316326125,0.18,1.22,NA,NA,4.166666667,0.2926964,NA,NA,NA,NA,NA,NA,NA,1.050406868,146.3145789,94.78466704,64.33891189,267.0293886,26.72368382,NA,277.5474589,2.788854055,NA,NA,NA,KS-153-SW-105-1-0_5-2018,19N02648,Ap1,0,5,280,1,SIL,0,23,10YR,3,3,,NA,NA,NA,-,NA,NA,,,,,,NA,,,NA,NA,,,,1,F,SBK,NA,NA,NA,NA,2,F,NA,,NA,,T,1,F,NA,,NA,,DT,NA,NA,NA,NA,NA,NA,NA,NA,KeC3,48,BAU,BAU,CROP,Till,Till converting to no-till,"Conventional tillage estimated at every two years until 2018, 2018 was first year of no-till.  Recently purchased fields.""Tillage Until 2018""<a0>",AG-CROP,NA,KansasState,Keith,A,1.316326125,1.22,0,5,1,8.029589362500001
37,KeC3 - 3-1,KeC3 - 3,1,S2018KS153106,NA,NA,NA,,1.252307599,0.21,1.23,NA,NA,5.833333333,0.269389469,NA,NA,NA,NA,NA,NA,NA,1.001461731,151.2082572,94.88018071,73.00508462,251.2685607,43.28463582,NA,355.7771108,3.167781283,NA,NA,NA,KS-153-SW-106-1-0_5-2018,19N02656,Ap1,0,5,287,1,SIL,0,20,10YR,3,3,,NA,NA,NA,-,NA,NA,,,,,,NA,,,NA,NA,,,,1,F,SBK,NA,NA,NA,NA,2,F,NA,,NA,,T,2,F,NA,,NA,,DT,NA,NA,NA,NA,NA,NA,NA,NA,KeC3,48,BAU,BAU,CROP,Till,Till converting to no-till,"Conventional tillage estimated at every two years until 2018, 2018 was first year of no-till.  Recently purchased fields.""Tillage Until 2018""<a0>",AG-CROP,NA,KansasState,Keith,A,1.252307599,1.23,0,5,1,7.70169173385
66,KeCF1 - 1-1,KeCF1 - 1,1,S2018KS179104,NA,NA,NA,,1.495227211,0.28,1.92,NA,NA,10,0.98958544,NA,NA,NA,NA,NA,NA,NA,1.008940895,93.35614948,85.73990423,23.15384886,350.5526555,39.00611143,9.567300061,502.5348065,8.372095404,NA,NA,NA,KS-179-SW-104-1-0_5-2018,19N02511,Ap,0,5,315,1,SIL  ,0,16,10YR,3,2,,NA,NA,NA,-,NA,NA,,,,,,NA,,,NA,NA,,,,2,F,GR,NA,NA,NA,NA,7,VF,NA,F,NA,,T,3,F,NA,,NA,,DT,NA,NA,NA,NA,NA,NA,NA,NA,KeCF1,49,SHM - no-till,SHM,CROP,No-till,"No-Till  with cover crop -  corn, oats, or wheat.","No-Till since 2001 with cover cropping.  Cover cropped every three years since 2006.  Typically planted to corn, oats, or wheat.",AG-CROP,NA,KansasState,Keith,A,1.495227211,1.92,0,5,1,14.3541812256
