PLFA_ID,proj_id,submit_proj_name,lab_proj_name,lims_site_id,lims_pedon_id,user_pedon_id,lay_id,natural_key,horizon_designation,lay_depth_to_top,lay_depth_to_bottom,lay_field_label1,lay_field_label2,lay_field_label3,clay_tot_psa,silt_tot_psa,sand_tot_psa,co3_cly,silt_f_psa,silt_c_psa,sand_vf_psa,sand_f_psa,sand_m_psa,sand_c_psa,sand_vc_psa,tex_psda,adod,caco3,ph_cacl2,ph_h2o,CKMnO4,PNitroBGlu,ag_stab,c_tot_ncs,n_tot_ncs,s_tot_ncs,estimated_organic_C,DSP_Pedon,user_site_id
NC-183-SWSHA-C1B-0_5-03192018,5194,DSP for Soil Health - NC State Lake Wheeler Farm,I2018USNC077,NA,NA,NA,191271,18N05150,Ap1,0,5,C1B 0-5,7.5YR 3/3,NA,29.3,10.9,59.8,NA,8.9,2,8.5,22.2,16.5,8.1,4.5,scl,1.017,0,4.9,5.4,951.4,202,47,2.36,0.19,0.05,2.4,C1B,NULL
NC-183-SWSHA-C1B-05_10-03192018,5194,DSP for Soil Health - NC State Lake Wheeler Farm,I2018USNC077,NA,NA,NA,191272,18N05151,Ap2,5,10,C1B 5-10,7.5YR 4/4,NA,32.1,11.3,56.6,NA,9.2,2.1,7.4,21.1,18.1,7.6,2.4,scl,1.017,0,5.1,5.5,805.6,114,57,1.85,0.16,0.04,1.9,C1B,NULL
NC-183-SWSHA-C1C-0_5-03192018,5194,DSP for Soil Health - NC State Lake Wheeler Farm,I2018USNC077,NA,NA,NA,191273,18N05152,Ap1,0,5,C1C 0-5,7.5YR 3/4,NA,27.7,12.2,60.1,NA,10.3,1.9,9.3,24.8,18.6,5.3,2.1,scl,1.015,NA,4.7,5.2,729.9,90,19,1.62,0.14,0.03,1.6,C1C,NULL
NC-183-SWSHA-C1C-05_10-03192018,5194,DSP for Soil Health - NC State Lake Wheeler Farm,I2018USNC077,NA,NA,NA,191274,18N05153,Ap2,5,10,C1C 5-10,7.5YR 4/4,NA,32.9,10.9,56.2,NA,10.6,0.3,7.5,19.4,15.1,7.6,6.6,scl,1.016,NA,4.8,5.4,658.6,55,39,1.39,0.11,0.03,1.4,C1C,NULL
NC-183-SWSHA-C1PIT-0_5-03192018,5194,DSP for Soil Health - NC State Lake Wheeler Farm,I2018USNC077,NA,NA,NA,191275,18N05154,Ap1,0,5,C1Pit 0-5,7.5YR 3/2,NA,23.8,11.4,64.8,NA,8.5,2.9,9.9,25.3,17,8,4.6,scl,1.016,NA,6.2,6.5,804.3,136,54,2.22,0.15,0.03,2.2,C1Pit,NULL
NC-183-SWSHA-C1PIT-05_10-03192018,5194,DSP for Soil Health - NC State Lake Wheeler Farm,I2018USNC077,NA,NA,NA,191276,18N05155,Ap2,5,10,C1Pit 5-10,7.5YR 4/3,NA,25.2,10,64.8,NA,8,2,8.8,24.4,18.8,6.8,6,scl,1.016,NA,5.9,6.4,805.7,80,32,2.27,0.13,0.03,2.3,C1Pit,NULL
NC-183-SWSHA-C2A-0_5-03232018,5194,DSP for Soil Health - NC State Lake Wheeler Farm,I2018USNC077,NA,NA,NA,191277,18N05156,Ap1,0,5,C2A 0-5,10YR 4/6,NA,19.1,24.2,56.7,NA,17.8,6.4,8.5,21.7,18.1,6.5,1.9,fsl,1.022,NA,6.2,6.8,1031.5,154,4,1.91,0.17,0.04,1.9,C2A,NULL
NC-183-SWSHA-C2A-5_10-03232018,5194,DSP for Soil Health - NC State Lake Wheeler Farm,I2018USNC077,NA,NA,NA,191278,18N05157,Ap2,5,10,C2A 5-10,10YR 4/6,NA,19.7,21.8,58.5,NA,18.1,3.7,8.5,21.5,19.1,7,2.4,fsl,1.02,NA,6.2,6.7,1028.1,169,5,1.96,0.18,0.04,2,C2A,NULL
NC-183-SWSHA-C2B-0_5-03232018,5194,DSP for Soil Health - NC State Lake Wheeler Farm,I2018USNC077,NA,NA,NA,191279,18N05158,Ap1,0,5,C2B 0-5,10YR 3/4,NA,15.4,11.4,73.2,NA,8,3.4,10,25.9,20.4,10,6.9,sl,1.013,0,5.8,6.2,1020.7,160,15,2.13,0.18,0.04,2.1,C2B,NULL
NC-183-SWSHA-C2B-5_10-03232018,5194,DSP for Soil Health - NC State Lake Wheeler Farm,I2018USNC077,NA,NA,NA,191280,18N05159,Ap2,5,10,C2B 5-10,10 YR 4/6,NA,16.2,11.1,72.7,NA,6.9,4.2,8.8,23.9,22.5,10.1,7.4,sl,1.012,0,5.6,6.2,874.7,106,19,1.68,0.14,0.03,1.7,C2B,NULL
