DSP_Pedon_ID,Label_full,Label,PLFA_ID_Surface,LU,till,trt,explanation,State,Project,Site,DSP_Plot_ID,Pedon_Num,UserPedonID,Collector,Date_Sampled,pedon_x,pedon_y,Target_Soil_Name,Soil_Sampled_Name,Single_Ring_Infiltration_1,Single_Ring_Infiltration_2,Cornell_Infiltrometer,Saturo_Infiltrometer,Agron_Feature,Residue,Slope_Percent,Slope_Shape,Soil,Pedoderm_Class,PhysicalCrust_dom,PhysicalCrust_sec,BiologicalCrust_dom,BiologicalCrust_sec,Crust_Cev_Clss
IL-115-SW-WDFLD-001,BAU - Organic,BAU,IL-115-SW-WDFLD-001-1-051220,CROP,Till,Organic,Organically managed in a corn-soybean-small grains rotation with cover crops established prior to corn,NA,Illinois,Woodfield,IL-115-SW-WDFLD,1,NA,"Carmen Ugarte, Ron Collman, Mario Nunez",5/12/2020,39.866062,-88.798131,Drummer,Drummer,NA,NA,NA,NA,NA,corn,NA,NA,Drummer,NA,NA,NA,NA,NA,NA
IL-115-SW-WDFLD-002,BAU - Organic,BAU,IL-115-SW-WDFLD-002-1-051220,CROP,Till,Organic,Organically managed in a corn-soybean-small grains rotation with cover crops established prior to corn,NA,Illinois,Woodfield,IL-115-SW-WDFLD,2,NA,"Carmen Ugarte, Ron Collman, Mario Nunez",5/12/2020,39.865395,-88.799917,Drummer,Drummer,NA,NA,NA,NA,NA,corn,NA,NA,Drummer,NA,NA,NA,NA,NA,NA
IL-115-SW-WDFLD-003,BAU - Organic,BAU,IL-115-SW-WDFLD-003-1-051220,CROP,Till,Organic,Organically managed in a corn-soybean-small grains rotation with cover crops established prior to corn,NA,Illinois,Woodfield,IL-115-SW-WDFLD,3,NA,"Carmen Ugarte, Ron Collman, Mario Nunez",5/12/2020,39.868482,-88.798039,Drummer,Drummer,NA,NA,NA,NA,NA,corn,NA,NA,Drummer,NA,NA,NA,NA,NA,NA
IL-115-SW-ETAL-001,BAU - Organic,BAU,IL-115-SW-ETAL-001-1-051220,CROP,Till,Organic,Organically managed in a corn-soybean-small grains rotation with cover crops established prior to corn,NA,Illinois,Etal,IL-115-SW-ETAL,1,NA,"Carmen Ugarte, Ron Collman, Mario Nunez",5/12/2020,39.895068,-88.745608,Drummer,Drummer,NA,NA,NA,NA,NA,corn,NA,NA,Drummer,NA,NA,NA,NA,NA,NA
IL-115-SW-ETAL-002,BAU - Organic,BAU,IL-115-SW-ETAL-002-1-051220,CROP,Till,Organic,Organically managed in a corn-soybean-small grains rotation with cover crops established prior to corn,NA,Illinois,Etal,IL-115-SW-ETAL,2,NA,"Carmen Ugarte, Ron Collman, Mario Nunez",5/12/2020,39.895384,-88.746645,Drummer,Drummer,NA,NA,NA,NA,NA,corn,NA,NA,Drummer,NA,NA,NA,NA,NA,NA
IL-115-SW-ETAL-003,BAU - Organic,BAU,IL-115-SW-ETAL-003-1-051220,CROP,Till,Organic,Organically managed in a corn-soybean-small grains rotation with cover crops established prior to corn,NA,Illinois,Etal,IL-115-SW-ETAL,3,NA,"Carmen Ugarte, Ron Collman, Mario Nunez",5/12/2020,39.90146,-88.746587,Drummer,Dana,NA,NA,NA,NA,NA,corn,NA,NA,Dana,NA,NA,NA,NA,NA,NA
IL-147-SW-TS-001,BAU - Conventional,BAU,IL-147-SW-TS-001-1-051220,CROP,Till,Conventional,Conventionally managed field in a corn-soybean rotation with cover crops established prior to corn,NA,Illinois,Taylor South,IL-147-SW-TS,1,NA,"Carmen Ugarte, Ron Collman, Mario Nunez",5/12/2020,39.876683,-88.700021,Drummer,Drummer,NA,NA,NA,NA,NA,corn,NA,NA,Drummer,NA,NA,NA,NA,NA,NA
IL-147-SW-TS-002,BAU - Conventional,BAU,IL-147-SW-TS-002-1-051220,CROP,Till,Conventional,Conventionally managed field in a corn-soybean rotation with cover crops established prior to corn,NA,Illinois,Taylor South,IL-147-SW-TS,2,NA,"Carmen Ugarte, Ron Collman, Mario Nunez",5/12/2020,39.878541,-88.700776,Drummer,Drummer,NA,NA,NA,NA,NA,corn,NA,NA,Drummer,NA,NA,NA,NA,NA,NA
IL-147-SW-TS-003,BAU - Conventional,BAU,IL-147-SW-TS-003-1-051220,CROP,Till,Conventional,Conventionally managed field in a corn-soybean rotation with cover crops established prior to corn,NA,Illinois,Taylor South,IL-147-SW-TS,3,NA,"Carmen Ugarte, Ron Collman, Mario Nunez",5/12/2020,39.878261,-88.705988,Drummer,Drummer,NA,NA,NA,NA,NA,corn,NA,NA,Drummer,NA,NA,NA,NA,NA,NA
IL-147-SW-CRP-001,BAU - Conventional,BAU,IL-147-SW-CRP-001-1-051220,CROP,Till,Conventional,Conventionally managed field in a corn-soybean rotation with cover crops established prior to corn,NA,Illinois,Cripe,IL-147-SW-CRP,1,NA,"Carmen Ugarte, Ron Collman, Mario Nunez",5/12/2020,39.895694,-88.743611,Drummer,Drummer,NA,NA,NA,NA,NA,corn,NA,NA,Drummer,NA,NA,NA,NA,NA,NA
IL-147-SW-CRP-002,BAU - Conventional,BAU,IL-147-SW-CRP-002-1-051220,CROP,Till,Conventional,Conventionally managed field in a corn-soybean rotation with cover crops established prior to corn,NA,Illinois,Cripe,IL-147-SW-CRP,2,NA,"Carmen Ugarte, Ron Collman, Mario Nunez",5/12/2020,39.896889,-88.743611,Drummer,Flanagan,NA,NA,NA,NA,NA,corn,NA,NA,Flanagan,NA,NA,NA,NA,NA,NA
IL-147-SW-CRP-003,BAU - Conventional,BAU,IL-147-SW-CRP-003-1-051220,CROP,Till,Conventional,Conventionally managed field in a corn-soybean rotation with cover crops established prior to corn,NA,Illinois,Cripe,IL-147-SW-CRP,3,NA,"Carmen Ugarte, Ron Collman, Mario Nunez",5/12/2020,39.898194,-88.743333,Drummer,Dana,NA,NA,NA,NA,NA,corn,NA,NA,Dana,NA,NA,NA,NA,NA,NA
IL-019-SW-ARBRTM-001,Ref - Ref,Ref,IL-019-SW-ARBRTM-001-1-061920,FOREST,Perennial,Ref,Restored since 1990,NA,Illinois,Arboretum,IL-019-SW-ARBRTM,1,NA,"Carmen Ugarte, Ron Collman, Mario Nunez",6/19/2020,40.0916401,-88.216396,Drummer,Drummer,NA,NA,NA,NA,NA,corn,NA,NA,Drummer,NA,NA,NA,NA,NA,NA
