DSP_Pedon_ID,DSP_Plot_ID,pedon_x,pedon_y,Label_full,Label,PLFA_ID_Surface,LU,till,trt,explanation,State,Site,Pedon_Num,Project,Soil_Sampled_Name,Project_full,partsize_class,Gen_surf,Gen_MAP,Gen_MAT,Texture_Class,Target_Soil_Name
IL-115-SW-WDFLD-001,IL-115-SW-WDFLD,-88.798131,39.866062,BAU - Organic,BAU,IL-115-SW-WDFLD-001-1-051220,CROP,Till,Organic,Organically managed in a corn-soybean-small grains rotation with cover crops established prior to corn ,,Woodfield,1,Illinois,Drummer,Illinois - Drummer,,SiL,998,11,scl ,Drummer
IL-115-SW-WDFLD-002,IL-115-SW-WDFLD,-88.799917,39.865395,BAU - Organic,BAU,IL-115-SW-WDFLD-002-1-051220,CROP,Till,Organic,Organically managed in a corn-soybean-small grains rotation with cover crops established prior to corn ,,Woodfield,2,Illinois,Drummer,Illinois - Drummer,,,998,11,scl ,Drummer
IL-115-SW-WDFLD-003,IL-115-SW-WDFLD,-88.798039,39.868482,BAU - Organic,BAU,IL-115-SW-WDFLD-003-1-051220,CROP,Till,Organic,Organically managed in a corn-soybean-small grains rotation with cover crops established prior to corn ,,Woodfield,3,Illinois,Drummer,Illinois - Drummer,,,998,11,sic  ,Drummer
IL-115-SW-ETAL-001,IL-115-SW-ETAL,-88.745608,39.895068,BAU - Organic,BAU,IL-115-SW-ETAL-001-1-051220,CROP,Till,Organic,Organically managed in a corn-soybean-small grains rotation with cover crops established prior to corn ,,Etal,1,Illinois,Drummer,Illinois - Drummer,,SiL,1000,11,sil ,Drummer
IL-115-SW-ETAL-002,IL-115-SW-ETAL,-88.746645,39.895384,BAU - Organic,BAU,IL-115-SW-ETAL-002-1-051220,CROP,Till,Organic,Organically managed in a corn-soybean-small grains rotation with cover crops established prior to corn ,,Etal,2,Illinois,Drummer,Illinois - Drummer,,,1000,11,sil ,Drummer
IL-115-SW-ETAL-003,IL-115-SW-ETAL,-88.746587,39.90146,BAU - Organic,BAU,IL-115-SW-ETAL-003-1-051220,CROP,Till,Organic,Organically managed in a corn-soybean-small grains rotation with cover crops established prior to corn ,,Etal,3,Illinois,Dana,Illinois - Drummer,,,998,11,sil ,Drummer
IL-147-SW-TS-001,IL-147-SW-TS,-88.700021,39.876683,BAU - Conventional,BAU,IL-147-SW-TS-001-1-051220,CROP,Till,Conventional,Conventionally managed field in a corn-soybean rotation with cover crops established prior to corn,,Taylor South,1,Illinois,Drummer,Illinois - Drummer,,SiCL,1006,11,scl ,Drummer
IL-147-SW-TS-002,IL-147-SW-TS,-88.700776,39.878541,BAU - Conventional,BAU,IL-147-SW-TS-002-1-051220,CROP,Till,Conventional,Conventionally managed field in a corn-soybean rotation with cover crops established prior to corn,,Taylor South,2,Illinois,Drummer,Illinois - Drummer,,,1006,11,"sic, scl",Drummer
IL-147-SW-TS-003,IL-147-SW-TS,-88.705988,39.878261,BAU - Conventional,BAU,IL-147-SW-TS-003-1-051220,CROP,Till,Conventional,Conventionally managed field in a corn-soybean rotation with cover crops established prior to corn,,Taylor South,3,Illinois,Drummer,Illinois - Drummer,,,1005,11,sil ,Drummer
IL-147-SW-CRP-001,IL-147-SW-CRP,-88.743611,39.895694,BAU - Conventional,BAU,IL-147-SW-CRP-001-1-051220,CROP,Till,Conventional,Conventionally managed field in a corn-soybean rotation with cover crops established prior to corn ,,Cripe,1,Illinois,Drummer,Illinois - Drummer,,SiL,1000,11,scl,Drummer
