"DSP_sample_ID","DSP_Pedon_ID","hzdesg","layer_no","hrzdep_t","hrzdep_b"
"KeCF3 - 1-1","KeCF3 - 1","Ap1",1,0,5
"KeCF3 - 1-2","KeCF3 - 1","Ap1",2,5,10
"KeCF3 - 1-3","KeCF3 - 1","Ap2",3,10,23
"KeCF3 - 1-4","KeCF3 - 1","Bt1",4,23,40
"KeCF3 - 1-5","KeCF3 - 1","Bt2",5,40,57
"KeCF3 - 1-6","KeCF3 - 1","Btk1",6,57,74
"KeCF3 - 1-7","KeCF3 - 1","Btk2",7,74,100
"KeCF3 - 2-1","KeCF3 - 2","Ap1",1,0,5
"KeCF3 - 2-2","KeCF3 - 2","Ap1",2,5,10
"KeCF3 - 2-3","KeCF3 - 2","Ap2",3,10,21
"KeCF3 - 2-4","KeCF3 - 2","Bt1",4,21,36
"KeCF3 - 2-5","KeCF3 - 2","Bt2",5,36,52
"KeCF3 - 2-6","KeCF3 - 2","Btk1",6,52,75
"KeCF3 - 2-7","KeCF3 - 2","Btk2",7,75,100
"KeCF3 - 3-1","KeCF3 - 3","Ap1",1,0,5
"KeCF3 - 3-2","KeCF3 - 3","Ap1",2,5,10
"KeCF3 - 3-3","KeCF3 - 3","Ap2",3,10,21
"KeCF3 - 3-4","KeCF3 - 3","Bt1",4,21,37
"KeCF3 - 3-5","KeCF3 - 3","Bt2",5,37,50
"KeCF3 - 3-6","KeCF3 - 3","Btk1",6,50,83
"KeCF3 - 3-7","KeCF3 - 3","Btk2",7,83,100
"KeC3 - 1-1","KeC3 - 1","Ap1",1,0,5
"KeC3 - 1-2","KeC3 - 1","Ap1",2,5,10
"KeC3 - 1-3","KeC3 - 1","Ap2",3,10,23
"KeC3 - 1-4","KeC3 - 1","Bt",4,23,39
"KeC3 - 1-5","KeC3 - 1","Btk",5,39,57
"KeC3 - 1-6","KeC3 - 1","Bk1",6,57,77
"KeC3 - 1-7","KeC3 - 1","Bk2",7,77,100
"KeC3 - 2-1","KeC3 - 2","Ap1",1,0,5
"KeC3 - 2-2","KeC3 - 2","Ap1",2,5,10
"KeC3 - 2-3","KeC3 - 2","Ap2",3,10,15
"KeC3 - 2-4","KeC3 - 2","Bt1",4,15,26
"KeC3 - 2-5","KeC3 - 2","Bt2",5,26,35
"KeC3 - 2-6","KeC3 - 2","Btk1",6,35,55
"KeC3 - 2-7","KeC3 - 2","Btk2",7,55,86
"KeC3 - 2-8","KeC3 - 2","Bk",8,86,100
"KeC3 - 3-1","KeC3 - 3","Ap1",1,0,5
"KeC3 - 3-2","KeC3 - 3","Ap1",2,5,10
"KeC3 - 3-3","KeC3 - 3","Ap2",3,10,18
"KeC3 - 3-4","KeC3 - 3","Bt1",4,18,29
"KeC3 - 3-5","KeC3 - 3","Bt2",5,29,41
"KeC3 - 3-6","KeC3 - 3","Btk1",6,41,57
"KeC3 - 3-7","KeC3 - 3","Btk2",7,57,76
"KeC3 - 3-8","KeC3 - 3","Bk",8,76,100
"KeN3 - 1-1","KeN3 - 1","A1",1,0,5
"KeN3 - 1-2","KeN3 - 1","A1",2,5,10
"KeN3 - 1-3","KeN3 - 1","A2",3,10,25
"KeN3 - 1-4","KeN3 - 1","Bt1",4,25,43
"KeN3 - 1-5","KeN3 - 1","Bt2",5,43,57
"KeN3 - 1-6","KeN3 - 1","Bk1",6,57,83
"KeN3 - 1-7","KeN3 - 1","Bk2",7,83,100
"KeN3 - 2-1","KeN3 - 2","A1",1,0,5
"KeN3 - 2-2","KeN3 - 2","A1",2,5,10
"KeN3 - 2-3","KeN3 - 2","A2",3,10,25
"KeN3 - 2-4","KeN3 - 2","Bt1",4,25,45
"KeN3 - 2-5","KeN3 - 2","Bt2",5,45,71
"KeN3 - 2-6","KeN3 - 2","Btk",6,71,85
"KeN3 - 2-7","KeN3 - 2","Bk",7,85,100
"KeN3 - 3-1","KeN3 - 3","A1",1,0,5
"KeN3 - 3-2","KeN3 - 3","A1",2,5,10
"KeN3 - 3-3","KeN3 - 3","A2",3,10,26
"KeN3 - 3-4","KeN3 - 3","Bt",4,26,44
"KeN3 - 3-5","KeN3 - 3","Btk",5,44,65
"KeN3 - 3-6","KeN3 - 3","Bk1",6,65,79
"KeN3 - 3-7","KeN3 - 3","Bk2",7,79,100
"KeCF1 - 1-1","KeCF1 - 1","Ap",1,0,5
"KeCF1 - 1-2","KeCF1 - 1","Ap",2,5,10
"KeCF1 - 1-3","KeCF1 - 1","A",3,10,18
"KeCF1 - 1-4","KeCF1 - 1","Bt1",4,18,27
"KeCF1 - 1-5","KeCF1 - 1","Bt2",5,27,37
"KeCF1 - 1-6","KeCF1 - 1","Btk",6,37,59
"KeCF1 - 1-7","KeCF1 - 1","Bk",7,59,100
"KeCF1 - 2-1","KeCF1 - 2","Ap1",1,0,5
"KeCF1 - 2-2","KeCF1 - 2","Ap1",2,5,10
"KeCF1 - 2-3","KeCF1 - 2","Ap2",3,10,18
"KeCF1 - 2-4","KeCF1 - 2","Bt1",4,18,32
"KeCF1 - 2-5","KeCF1 - 2","Bt2",5,32,45
"KeCF1 - 2-6","KeCF1 - 2","Btk",6,45,66
"KeCF1 - 2-7","KeCF1 - 2","Bk",7,66,100
"KeCF1 - 3-1","KeCF1 - 3","Ap1",1,0,5
"KeCF1 - 3-2","KeCF1 - 3","Ap1",2,5,10
"KeCF1 - 3-3","KeCF1 - 3","Ap2",3,10,18
"KeCF1 - 3-4","KeCF1 - 3","Bt1",4,18,46
