"laydesg_id","dsp_sample_id","dsp_pedon_id","hzdesg","layer_no","hrzdep_t","hrzdep_b"
1346,"AX2-2-2","AX2-2","Ap",2,5,10
1713,"AX2-2-2","AX2-2","A1",2,5,10
1347,"AX2-2-3","AX2-2","Ap",3,10,30
1714,"AX2-2-3","AX2-2","B2",3,10,30
1348,"AX2-2-4","AX2-2","A1",4,30,50
1715,"AX2-2-4","AX2-2","B2ca",4,30,50
1349,"AX2-2-5","AX2-2","B2",5,50,80
1716,"AX2-2-5","AX2-2","Ap",5,50,80
1350,"AX2-2-6","AX2-2","B2ca",6,80,100
1717,"AX2-2-6","AX2-2","Ap",6,80,100
1352,"AX2-3-2","AX2-3","Ap",2,5,10
1718,"AX2-3-2","AX2-3","A1",2,5,10
1353,"AX2-3-3","AX2-3","Ap",3,10,30
1719,"AX2-3-3","AX2-3","B2",3,10,30
1354,"AX2-3-4","AX2-3","A1",4,30,50
1720,"AX2-3-4","AX2-3","B2ca",4,30,50
1355,"AX2-3-5","AX2-3","B2",5,50,80
1721,"AX2-3-5","AX2-3","Ap",5,50,80
1356,"AX2-3-6","AX2-3","B2ca",6,80,100
1722,"AX2-3-6","AX2-3","Ap",6,80,100
1358,"AX3-1-2","AX3-1","Ap",2,5,10
1723,"AX3-1-2","AX3-1","A1",2,5,10
1359,"AX3-1-3","AX3-1","Ap",3,10,30
1724,"AX3-1-3","AX3-1","B2",3,10,30
1360,"AX3-1-4","AX3-1","A1",4,30,50
1725,"AX3-1-4","AX3-1","B2ca",4,30,50
1361,"AX3-1-5","AX3-1","B2",5,50,80
1726,"AX3-1-5","AX3-1","Ap",5,50,80
1362,"AX3-1-6","AX3-1","B2ca",6,80,100
1727,"AX3-1-6","AX3-1","A1",6,80,100
1363,"AX3-2-1","AX3-2","Ap",1,0,5
1728,"AX3-2-1","AX3-2","B2",1,0,5
1364,"AX3-2-2","AX3-2","Ap",2,5,10
1729,"AX3-2-2","AX3-2","B2ca",2,5,10
1366,"AX3-2-4","AX3-2","A1",4,30,50
1730,"AX3-2-4","AX3-2","Ap",4,30,50
1367,"AX3-2-5","AX3-2","B2",5,50,80
1731,"AX3-2-5","AX3-2","Ap",5,50,80
1368,"AX3-2-6","AX3-2","B2ca",6,80,100
1732,"AX3-2-6","AX3-2","A1",6,80,100
1369,"AX3-3-1","AX3-3","Ap",1,0,5
1733,"AX3-3-1","AX3-3","B2",1,0,5
1370,"AX3-3-2","AX3-3","Ap",2,5,10
1734,"AX3-3-2","AX3-3","B2ca",2,5,10
1372,"AX3-3-4","AX3-3","A1",4,30,50
1735,"AX3-3-4","AX3-3","Ap",4,30,50
1373,"AX3-3-5","AX3-3","B2",5,50,80
1736,"AX3-3-5","AX3-3","Ap",5,50,80
1374,"AX3-3-6","AX3-3","B2ca",6,80,100
1737,"AX3-3-6","AX3-3","A1",6,80,100
1375,"AY1-1-1","AY1-1","Ap",1,0,5
1738,"AY1-1-1","AY1-1","B2",1,0,5
1376,"AY1-1-2","AY1-1","Ap",2,5,10
1739,"AY1-1-2","AY1-1","B2ca",2,5,10
1394,"AY2-1-2","AY2-1","Ap",2,5,10
1740,"AY2-1-2","AY2-1","A1",2,5,10
1395,"AY2-1-3","AY2-1","Ap",3,10,30
1741,"AY2-1-3","AY2-1","B2",3,10,30
1396,"AY2-1-4","AY2-1","A1",4,30,50
1742,"AY2-1-4","AY2-1","B2ca",4,30,50
1397,"AY2-1-5","AY2-1","B2",5,50,80
1743,"AY2-1-5","AY2-1","Ap",5,50,80
1398,"AY2-1-6","AY2-1","B2ca",6,80,100
1744,"AY2-1-6","AY2-1","Ap",6,80,100
1400,"AY2-2-2","AY2-2","Ap",2,5,10
1745,"AY2-2-2","AY2-2","A1",2,5,10
1401,"AY2-2-3","AY2-2","Ap",3,10,30
1746,"AY2-2-3","AY2-2","B2",3,10,30
1402,"AY2-2-4","AY2-2","A1",4,30,50
1747,"AY2-2-4","AY2-2","B2ca",4,30,50
1403,"AY2-2-5","AY2-2","B2",5,50,80
1748,"AY2-2-5","AY2-2","Ap",5,50,80
1404,"AY2-2-6","AY2-2","B2ca",6,80,100
1749,"AY2-2-6","AY2-2","Ap",6,80,100
1406,"AY2-3-2","AY2-3","Ap",2,5,10
1750,"AY2-3-2","AY2-3","A1",2,5,10
1407,"AY2-3-3","AY2-3","Ap",3,10,30
1751,"AY2-3-3","AY2-3","B2",3,10,30
1408,"AY2-3-4","AY2-3","A1",4,30,50
1752,"AY2-3-4","AY2-3","B2ca",4,30,50
1409,"AY2-3-5","AY2-3","B2",5,50,80
1753,"AY2-3-5","AY2-3","Ap",5,50,80
1410,"AY2-3-6","AY2-3","B2ca",6,80,100
1754,"AY2-3-6","AY2-3","Ap",6,80,100
1412,"AY3-1-2","AY3-1","Ap",2,5,10
1755,"AY3-1-2","AY3-1","A1",2,5,10
1413,"AY3-1-3","AY3-1","Ap",3,10,30
1756,"AY3-1-3","AY3-1","B2",3,10,30
1414,"AY3-1-4","AY3-1","A1",4,30,50
1757,"AY3-1-4","AY3-1","B2ca",4,30,50
1415,"AY3-1-5","AY3-1","B2",5,50,80
1758,"AY3-1-5","AY3-1","Ap",5,50,80
1416,"AY3-1-6","AY3-1","B2ca",6,80,100
1759,"AY3-1-6","AY3-1","A1",6,80,100
1417,"AY3-2-1","AY3-2","Ap",1,0,5
1760,"AY3-2-1","AY3-2","B2",1,0,5
1418,"AY3-2-2","AY3-2","Ap",2,5,10
1761,"AY3-2-2","AY3-2","B2ca",2,5,10
1420,"AY3-2-4","AY3-2","A1",4,30,50
1762,"AY3-2-4","AY3-2","Ap",4,30,50
1421,"AY3-2-5","AY3-2","B2",5,50,80
1763,"AY3-2-5","AY3-2","Ap",5,50,80
1422,"AY3-2-6","AY3-2","B2ca",6,80,100
1764,"AY3-2-6","AY3-2","A1",6,80,100
1423,"AY3-3-1","AY3-3","Ap",1,0,5
1765,"AY3-3-1","AY3-3","B2",1,0,5
1424,"AY3-3-2","AY3-3","Ap",2,5,10
1766,"AY3-3-2","AY3-3","B2ca",2,5,10
1426,"AY3-3-4","AY3-3","A1",4,30,50
1767,"AY3-3-4","AY3-3","Ap",4,30,50
1427,"AY3-3-5","AY3-3","B2",5,50,80
1768,"AY3-3-5","AY3-3","Ap",5,50,80
1428,"AY3-3-6","AY3-3","B2ca",6,80,100
1769,"AY3-3-6","AY3-3","A1",6,80,100
1429,"AZ1-1-1","AZ1-1","Ap",1,0,5
1770,"AZ1-1-1","AZ1-1","B2",1,0,5
1430,"AZ1-1-2","AZ1-1","Ap",2,5,10
1771,"AZ1-1-2","AZ1-1","B2ca",2,5,10
1432,"AZ1-1-4","AZ1-1","A1",4,30,50
1772,"AZ1-1-4","AZ1-1","Ap",4,30,50
1433,"AZ1-1-5","AZ1-1","B2",5,50,80
1773,"AZ1-1-5","AZ1-1","Ap",5,50,80
1434,"AZ1-1-6","AZ1-1","B2ca",6,80,100
1774,"AZ1-1-6","AZ1-1","A1",6,80,100
1435,"AZ1-2-1","AZ1-2","Ap",1,0,5
1775,"AZ1-2-1","AZ1-2","B2",1,0,5
1436,"AZ1-2-2","AZ1-2","Ap",2,5,10
1776,"AZ1-2-2","AZ1-2","B2ca",2,5,10
1053,"JoXT2 - 1 - 1","JoXT2 - 1","Ap",1,0,5
1712,"JoXT2 - 1 - 1","JoXT2 - 1","Ap",1,0,0
148,"KeC2 - 3-3","KeC2 - 3","Ap2",3,10,26
1705,"KeC2 - 3-3","KeC2 - 3","Ap2",1,10,26
30,"KeC3 - 2-2","KeC3 - 2","Ap1",2,5,10
1686,"KeC3 - 2-2","KeC3 - 2","Ap2",2,5,15
31,"KeC3 - 2-3","KeC3 - 2","Ap2",3,10,15
1687,"KeC3 - 2-3","KeC3 - 2","Bt1",3,15,26
32,"KeC3 - 2-4","KeC3 - 2","Bt1",4,15,26
1688,"KeC3 - 2-4","KeC3 - 2","Bt2",4,26,35
33,"KeC3 - 2-5","KeC3 - 2","Bt2",5,26,35
1689,"KeC3 - 2-5","KeC3 - 2","Btk1",5,35,55
34,"KeC3 - 2-6","KeC3 - 2","Btk1",6,35,55
1690,"KeC3 - 2-6","KeC3 - 2","Btk2",6,55,86
35,"KeC3 - 2-7","KeC3 - 2","Btk2",7,55,86
1691,"KeC3 - 2-7","KeC3 - 2","Bk",7,86,100
